Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
Hardware Data Networking Equipment ;EV_TO_T12M_EBITDA;Average;11,51330473;14,25700593;19,74583314;16,47499535;14,89366994;20,66252793;17,78275007;26,97378096;14,78067547;12,32954358;12,86413539;11,11383438;9,695329008;9,322741581;14,39574535;19,67454883;7,01777505;22,2050948;14,19999492;14,57315709;18,0779611;34,33974986;68,65121351;55,68676842;120,2802126;101,4629719;122,4329263;12,58597513;14,35729796;10,83345089;10,15755949;14,21090954;13,5884852;12,20802954;9,168661864;10,87916253;10,11503925;7,821904463;;
ANET US Equity;EV_TO_T12M_EBITDA;Dynamic;;29,17146701;21,24069947;40,96717505;25,20781327;14,99387297;46,59137859;32,32289388;22,89787303;28,58414201;26,38200215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADV GR Equity;EV_TO_T12M_EBITDA;Dynamic;;13,58934675;13,35292002;5,947971162;4,143637291;6,295901352;5,269906823;6,601488468;6,001319477;7,771342128;2,258926933;3,927841162;3,29670527;3,75624659;8,39752905;4,636314649;3,16504509;4,429408445;23,25968785;9,097598649;9,930040447;9,691839981;3,711216901;6,573684805;;325,0394639;;;;;;;;;;;;;;
CASA US Equity;EV_TO_T12M_EBITDA;Dynamic;;;;17,68341653;15,4009006;93,26064965;12,48755858;10,25367241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CSCO US Equity;EV_TO_T12M_EBITDA;Dynamic;13,65059306;11,35274939;10,89511522;14,6860534;11,52641271;14,36494788;12,09840563;8,436016551;7,860997299;8,277399334;8,605464189;7,603671957;4,006680351;5,813676181;9,460590495;11,21009901;10,08910448;15,90393159;11,70294988;13,52261863;17,65641847;19,30628995;15,11084085;58,79948604;80,94966642;54,74023285;31,96440251;22,24096894;20,82546953;15,80447763;10,07625498;23,27974763;21,70596743;13,7660874;12,84234085;;;;;
CMBM US Equity;EV_TO_T12M_EBITDA;Dynamic;;;19,28604169;14,38666044;19,23350429;27,39708984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COMM US Equity;EV_TO_T12M_EBITDA;Dynamic;;17,08248975;77,56697056;13,502906;14,71802796;37,6879284;8,273370674;13,10203993;11,73541796;19,86279609;7,441000404;9,698626096;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLW US Equity;EV_TO_T12M_EBITDA;Dynamic;;13,16502058;10,76707935;9,863049303;16,67900093;10,58674203;10,40532775;11,07390456;8,954570447;9,135434956;9,19221335;9,708040455;7,312683824;6,100299738;9,860082863;24,04236686;7,17499472;19,09219904;18,7207186;;19,59210762;40,61266839;297,7652381;24,54352941;26,57514802;30,96669171;13,57024503;10,91827631;16,24613908;12,50671855;8,770937484;10,0603265;11,85429985;13,86384236;9,185706026;10,87916253;10,11503925;7,821904463;;
EXTR US Equity;EV_TO_T12M_EBITDA;Dynamic;;;21,30847213;10,80547982;14,3525114;;20,45208902;92,28877374;30,41941013;17,99646092;;;6,898119765;8,113530219;12,72759292;21,6937288;6,678971267;12,55801703;;12,84059029;15,24749639;33,45261057;;123,7675063;;179,6647143;639,733511;;;;;;;;;;;;;
FFIV US Equity;EV_TO_T12M_EBITDA;Dynamic;14,84335351;14,25450807;14,88274952;21,0394939;12,9381213;12,17447253;16,23253632;9,989701938;11,55682683;11,47842942;14,05659041;11,53219516;15,26038722;12,40885926;29,46633266;17,05373624;12,94015756;22,25959316;17,85654336;18,92793264;28,98602598;51,1295018;;;39,3799836;;;;;;;;;;;;;;;
HPE US Equity;EV_TO_T12M_EBITDA;Dynamic;6,045967606;5,947058583;8,055323427;7,587733914;9,69675435;8,231173536;6,723104568;7,384343015;5,025481896;5,42630918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JNPR US Equity;EV_TO_T12M_EBITDA;Dynamic;;14,03014338;13,94356088;17,767164;12,88727405;11,6729041;10,095214;8,866955388;9,410877417;9,726963712;;10,68822969;14,46683094;9,449734547;17,96075063;24,38571948;7,944199175;25,9202027;18,44269557;19,72161923;37,13756151;51,5228186;75,26373576;31,19584387;159,1120815;;;;;;;;;;;;;;;
