Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
Harware Global Display Components;EV_TO_T12M_EBITDA;Average;;10,44127932;6,396711914;6,256343729;9,424719084;7,336792452;6,848361917;8,20743952;6,858076049;6,606433443;7,589390647;6,706421256;5,263229805;4,397770506;5,860337275;11,85118863;4,738961487;10,51249881;11,79832616;10,64955412;11,26446543;23,9732555;150,8935307;14,13905356;13,72391839;16,18500795;12,54614339;10,05094873;14,70447891;12,50671855;8,770937484;10,0603265;11,85429985;13,86384236;9,185706026;10,87916253;10,11503925;7,821904463;;
5201 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;6,17973758;4,375579316;4,832748244;6,749540279;6,085118768;5,371900884;6,387654148;5,920108415;6,004470698;5,986567943;5,852424918;5,416642879;4,135707464;4,39476988;7,001457312;3,955187686;6,817641624;8,32972095;9,414266971;7,256944489;;;11,33154121;9,091894165;11,44541871;11,52204174;9,18362115;13,16281873;;;;;;;;;;;
GLW US Equity;EV_TO_T12M_EBITDA;Dynamic;;13,16502058;10,76707935;9,863049303;16,67900093;10,58674203;10,40532775;11,07390456;8,954570447;9,135434956;9,19221335;9,708040455;7,312683824;6,100299738;9,860082863;24,04236686;7,17499472;19,09219904;18,7207186;;19,59210762;40,61266839;297,7652381;24,54352941;26,57514802;30,96669171;13,57024503;10,91827631;16,24613908;12,50671855;8,770937484;10,0603265;11,85429985;13,86384236;9,185706026;10,87916253;10,11503925;7,821904463;;
5214 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;11,97907979;4,047477076;4,073233639;4,845616044;5,338516559;4,767857118;7,160759852;5,699549285;4,679394676;;4,558798396;3,060362712;2,957304316;3,326159082;4,509741721;3,086702055;5,627655756;8,344538939;11,88484127;6,944344178;7,333842608;4,021823218;6,542090074;5,504712998;6,142913422;;;;;;;;;;;;;;
Harware Global Display Components;BEST_CUR_EV_TO_EBITDA;Average;9,673457033;7,173560334;5,043951365;5,207063007;4,78694739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5201 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;5,560059379;5,162857478;3,855858978;4,829759422;5,507236206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLW US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;12,40226268;8,922196098;7,387047506;7,115794972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5214 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;11,05804904;7,435627426;3,888947612;3,675634627;4,066658573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harware Global Display Components;EV_TO_T12M_SALES;Average;;1,537083344;1,261275204;1,499683963;1,695400523;1,531209524;1,453322664;1,882325404;1,568619268;1,516289822;1,918009947;1,612561666;1,245092613;1,341896476;2,186373173;2,877255798;1,403124453;3,19365025;3,273131198;3,763455897;2,57818154;3,33828607;1,464902138;1,571443263;3,346740256;3,418938872;1,977466712;1,786992006;2,258750842;1,946477989;3,392921811;1,534582461;1,4926551;1,926241745;1,623469272;1,820627338;1,639670957;1,099128331;;
5201 JP Equity;EV_TO_T12M_SALES;Dynamic;;0,924683389;0,791700038;1,055257405;1,046200584;0,977674683;0,849258297;1,074198668;0,998313517;0,933502507;0,873506255;0,951631002;0,992155894;0,94412203;1,161235276;1,370890413;0,797712779;1,356445632;1,390152678;1,533208459;1,376542926;;;1,561850504;1,489284189;1,449046612;1,232410326;1,044956071;1,363249159;1,519889322;7,124782401;1,346100605;1,117481116;;;;;;;
GLW US Equity;EV_TO_T12M_SALES;Dynamic;;2,541388624;2,304575375;2,613897174;3,190303459;2,686490481;2,643266608;3,027918149;2,497552716;2,512720887;2,962513639;2,946307712;1,986070894;2,063586819;3,947303981;5,271940686;2,284707465;6,089303754;5,387543487;6,467298537;4,534551116;5,073297735;1,976317952;1,862986605;7,191259995;7,483187093;3,347638644;3,006810203;4,070130561;2,857603333;1,83747508;1,861692954;2,244796001;2,619037748;1,623469272;1,820627338;1,639670957;1,099128331;;
5214 JP Equity;EV_TO_T12M_SALES;Dynamic;;1,145178019;0,687550198;0,829897311;0,849697525;0,929463407;0,867443088;1,544859395;1,209991571;1,102646073;;0,939746284;0,757051052;1,017980578;1,450580261;1,988936294;1,126953116;2,135201363;3,041697428;3,289860696;1,823450577;1,603274405;0,953486323;1,289492679;1,359676583;1,324582911;1,352351167;1,309209744;1,342872805;1,461941313;1,216507953;1,395953823;1,115688182;1,233445742;;;;;;
