Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987
Hardware. Global Display Panels Compeitive ;EV_TO_T12M_EBITDA;Average;;11,14116614;16,53080246;164,684829;7,11570109;8,22348045;5,833947108;7,131050084;6,713581913;12,3071049;8,01430899;9,631969694;13,07992706;14,26914451;10,18602122;49,02979734;15,25462388;9,749959688;8,255534787;31,50201052;6,592236717;8,668754613;50,04849971;25,8284956;14,05820486;17,704763;16,13572013;13,77150448;13,6624317;7,196221115;3,689474762;5,762657508;4,959278317;6,401301243;;;;
2409 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;17,29562436;18,24945801;2,066129103;4,823636614;9,569969144;3,679697475;1,924641496;3,395229846;2,095899415;2,958879281;2,946802488;7,488594364;9,013416595;3,785176765;6,12401596;2,650486208;4,084111484;7,649538209;6,832254156;4,956554276;5,67184217;4,299225521;;;;;;;;;;;;;;;
200725 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;6,240306456;8,794970775;4,905612087;12,32331962;13,45500451;8,374594622;8,935278538;8,036906055;7,067042994;9,328590071;14,11507648;12,60752914;;;234,2272923;18,70164715;14,84127197;;266,5251702;12,72366275;7,313001509;13,79985165;29,64575412;10,96220104;18,9830106;16,32390531;19,2617763;;;;;;;;;;
2475 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;8,813903819;10,71062556;89,72160016;7,910726073;4,464531412;17,35642444;12,67732699;6,348363814;;4,45003524;3,607412762;9,422199871;12,17027531;4,961653416;5,265319943;5,663922828;48,53260323;5,19641343;;;;;;;;;;;;;
8069 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;25,61991636;17,99282811;42,64268167;14,11320461;14,23262212;14,82800454;18,66630576;12,65131716;10,43136646;26,05524216;49,72944829;48,97287182;5,116936496;9,897848644;176,8541842;21,78336006;11,1422364;8,784406076;12,2388224;4,683150744;;;;;;;;;;;;;;;;;
8105 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;7,491384307;5,726764493;9,243112972;;11,02386912;5,177375453;4,242963752;2,605627697;6,469162328;4,80811185;25,50132489;4,984265156;4,843831175;5,1751922;4,916167216;1,774083078;12,93330352;6,343168161;5,292415293;4,834877229;;;;;;;;;;;;;;;;;
6116 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;;26,70361995;3,134827254;3,500541962;4,950137902;2,049245636;3,243883711;1,886285074;12,61140119;4,30086146;3,243435385;1,545163407;87,2015923;5,244386224;24,63082999;1,580856965;3,082522649;7,333275221;11,73188505;;;;;;;;;;;;;;;;;;
3481 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;9,228334671;72,51369207;1,902680499;3,310453752;4,380654742;1,54282971;1,063047812;2,847179818;1,400255327;2,409107386;2,801119351;5,264856657;10,16100765;42,64814065;20,68413205;3,328114111;10,38630978;13,95765044;48,69809001;;;;;;;;;;;;;;;;;;
6740 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;;;2037,540442;;;10,72974328;7,627348142;2,09198997;1,710778803;3,268787502;4,57456682;;;;;;;;;;;;;;;;;;;;;;;;;;
034220 KS Equity;EV_TO_T12M_EBITDA;Dynamic;;11,46516568;7,039476246;2,80787648;4,340987985;7,326056956;3,695996713;2,387020322;3,188566863;2,198474638;2,932425769;2,168010404;2,404668651;3,799861971;3,400685241;3,564358179;1,863924511;4,415331145;7,46188383;7,671976369;4,665759804;;;;;;;;;;;;;;;;;
