Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987
Harware Global Displays TV Manufacturers;EV_TO_T12M_EBITDA;Average;;7,160708155;7,277452711;7,200948058;8,436344074;19,77484897;6,92006782;10,48744415;11,80691631;16,36592849;55,1895093;7,672717783;14,95125404;9,264113817;26,62671846;12,74053383;6,44355325;12,81816756;10,04994531;11,75943244;11,98422283;12,14353558;12,25643862;28,85129637;16,99658999;17,70711762;7,545015548;11,02407059;7,034141526;4,712753168;11,51698697;6,884203197;6,01892963;5,673971632;6,150980191;;;
600060 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;8,531353811;6,009962137;10,28712979;9,009007925;14,95630716;17,92921219;13,33758212;10,76008838;14,61282366;8,57309605;7,656675068;6,779967378;4,255937508;7,736867849;22,76213101;5,82286185;16,32328628;8,88015392;10,93728348;15,52144917;16,51117515;20,19119403;94,92868393;31,82462737;23,15906214;;21,65127152;;;;;;;;;;
200016 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;130,3398703;;22,33824155;;;;;50,91590229;;173,700805;31,11152289;12,6824902;18,20854321;21,12807239;26,10380985;23,69722623;;15,79131303;;21,06868222;11,18822417;7,881828845;12,4341686;10,34242644;4,365641455;5,339114961;9,161908725;;;;;;
066570 KS Equity;EV_TO_T12M_EBITDA;Dynamic;;3,900467295;3,56383741;4,358143873;4,417430545;4,11162809;4,00071697;5,855986319;5,00168095;5,189685285;4,639453262;5,791974746;6,441068237;11,25177342;16,28239279;5,233223054;3,123353475;4,045904067;6,14810906;6,004664963;3,995519916;4,26830262;;;;;;;;;;;;;;;;
6752 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;5,364135364;5,33005897;5,142252167;5,612353464;3,835669792;3,765148128;5,882654299;5,518503719;4,625165036;5,218352979;4,400189873;4,392346371;6,621422128;4,651569273;8,132006984;4,098958124;4,993175156;5,894555236;7,172195631;5,678992036;6,669672278;4,333508911;21,73873374;8,854301715;12,29796126;8,952129057;6,906100038;6,116796962;7,482074278;5,466389673;7,240765793;5,365453773;5,15983502;;;;
600839 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;16,38974727;15,37520855;15,92017693;23,20935366;18,31454658;15,24135164;22,3669612;19,39600837;77,04850565;33,19901884;15,79500774;20,29196586;18,07284368;33,11897957;20,77795466;16,17290191;30,99191807;12,52511072;12,71028718;;32,2933846;36,68136044;52,296195;40,68395631;32,82157196;;18,34028029;7,162976756;1,648291046;2,719018482;;;;;;;
005930 KS Equity;EV_TO_T12M_EBITDA;Dynamic;;8,831284603;2,848031581;4,313604821;5,842259075;4,372450119;1,787088066;3,273301651;3,100062806;2,285458329;2,97725389;2,667138734;4,0541197;4,478373469;4,119064686;4,277090735;4,11025005;4,467660136;5,268149013;6,766759059;3,885152494;7,109420635;4,882027869;7,83152942;3,283314783;5,489485836;4,528430695;5,627461023;4,571413592;2,270691202;2,002528668;2,271355447;;;;;;
6753 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;;17,05684627;6,765368423;10,13700975;9,340749461;7,541958793;14,3848753;24,94614789;;18,40471588;5,409562917;41,58420674;7,661738089;4,358574636;5,625285984;5,432430999;4,867682137;6,717653373;6,837337173;5,838052285;7,620801538;5,911437533;10,69411097;7,51491799;12,51822352;8,638641452;5,722476106;7,31462259;;;;;;;;;
751 HK Equity;EV_TO_T12M_EBITDA;Dynamic;;5,254998684;6,18915047;5,590769982;4,366814552;6,231199445;;8,523070411;8,642686679;3,990898077;3,664407811;6,554276361;8,003871763;6,971153906;7,851540621;15,51124633;2,337292975;3,864991222;10,22090119;5,764523206;33,42091647;11,48542224;2,666375161;;;;;;;;;;;;;;;
6758 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;7,601473465;7,410803037;8,312685471;9,269574479;5,279251747;3,98413558;5,294906142;7,483703818;4,751424891;8,091560376;4,86772641;2,947124309;4,728161681;4,629905879;7,736539886;11,26230888;4,837890271;12,48302205;8,801138482;8,105485707;8,975892849;7,252704308;13,33748365;15,14880159;25,44634548;7,72404769;6,486736522;6,696612818;7,797067861;42,05788308;8,862782822;6,672405487;6,188108244;6,150980191;;;
1070 HK Equity;EV_TO_T12M_EBITDA;Dynamic;;1,412204747;1,713175971;4,118401064;4,063293213;0,966816987;1,110931192;3,616862554;9,006772827;9,494384359;6,022934198;15,9119082;4,101967733;2,795047194;;10,07045595;0,829250802;39,5984943;;24,70624521;7,715211174;14,3577483;12,59802626;8,636470148;7,594117978;18,73606662;;;;;;;;;;;;
VCLF IN Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;;24,21350769;25,29501116;461,1042997;;;25,80468709;9,817484275;8,908414624;5,006986488;8,800298365;11,23372619;13,54951261;;;;21,34716411;;;;;;;;;;;;;;
Harware Global Displays TV Manufacturers;BEST_CUR_EV_TO_EBITDA;Average;6,897834991;5,709156547;4,326812488;5,543730328;5,251688553;2,439370051;1,928471106;2,836968721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
