Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987
Harware Global Electronics Touch Solutions ;EV_TO_T12M_EBITDA;Average;;37,12619458;8,697817694;7,099690558;17,26081982;10,63453354;9,216178004;17,18675995;21,14802902;11,67323693;23,00436073;15,32273372;15,06843268;15,69515529;25,22234459;13,34611783;6,257210715;15,2599745;17,93884606;14,88773323;13,8624195;20,21314771;10,45418893;4,861348639;1,343222786;2,259951458;;;;;;;;;;;;
3049 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;;11,66875183;8,404579905;9,121553529;7,679413243;10,21575438;9,714626162;12,81408365;4,96718944;6,529049222;5,016640383;9,119734804;;25,06179622;;1,040377319;5,239568443;15,35986298;7,401177971;4,765456866;;;;;;;;;;;;;;;;;
7915 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;14,96323389;5,048077067;3,461011983;5,416968236;;4,577454867;;27,45692367;3,524031377;4,018916443;4,352906036;25,33356328;;15,27730812;7,30780761;5,369410358;9,129199333;6,600633069;9,99689048;5,367185995;6,359313384;2,304627399;2,48362252;1,343222786;2,259951458;;;;;;;;;;;;
002456 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;34,49584691;;;50,33457712;15,45048285;17,7617427;25,21299122;26,70206105;27,25676439;16,04406987;25,25711466;18,41147536;49,1493443;74,03487629;;;;;;;;;;;;;;;;;;;;;;;
002106 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;9,165096044;7,900771206;8,947101626;8,705242764;11,24113786;7,889016033;13,60626057;19,54732191;;53,60282862;37,60733747;28,98479337;14,51790383;42,79386492;25,20654506;5,557719806;26,06897409;;;;;;;;;;;;;;;;;;;;
SYNA US Equity;EV_TO_T12M_EBITDA;Dynamic;;187,3844374;10,45448358;9,483118255;19,3055314;12,16779123;10,72624183;31,6130144;10,43481854;9,899401219;11,28051912;30,74870926;8,343936905;8,196260555;7,367451835;10,28264587;15,98886264;23,36712313;24,389661;19,08686656;12,6011363;17,59137783;18,60375046;7,239074758;;;;;;;;;;;;;;
3673 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;0,985368907;1,180568146;2,529067381;1,610073441;2,365642301;2,235373478;2,428606928;5,370229119;;11,0882769;4,907937761;7,152290907;5,582774554;20,81990163;;;;;;;;;;;;;;;;;;;;;;;
6727 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;8,329207042;23,40516964;8,799054111;6,078595657;4,773334285;11,10766274;13,569429;45,71076519;12,71879822;9,887181947;10,10935555;14,98786575;11,20352281;7,688273572;11,71477783;6,138940841;12,49500749;25,4052272;23,06599789;32,71589883;36,68875193;;;;;;;;;;;;;;;;
3622 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;4,560171868;1,226902387;8,073900648;37,51401639;20,76393301;;24,16239138;;;71,58404368;4,581868625;8,21380107;5,521125715;8,73528417;12,21881279;3,447953327;;;;;;;;;;;;;;;;;;;;;
Harware Global Electronics Touch Solutions ;BEST_CUR_EV_TO_EBITDA;Average;16,24515241;9,984104555;5,149105856;7,110938018;10,55292317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
