Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
Hardware Global Household Appliances ;EV_TO_T12M_EBITDA;Average;;9,728248609;9,323105388;10,60285365;11,82603288;10,63992305;8,813538986;11,37319898;10,38141974;11,25999134;9,040254074;8,989942271;7,786024969;8,251022025;11,94335064;9,392137576;6,635018115;11,56983941;8,268892414;7,080514865;7,077485247;6,245633763;5,777528412;9,681731856;8,435036603;10,21547982;8,237009237;10,95156088;11,65740713;6,455337338;6,227029256;9,140884214;6,402279776;6,614460119;5,838322423;6,229312409;7,025167114;6,192898305;;
ARCLK TI Equity;EV_TO_T12M_EBITDA;Dynamic;;7,707722716;7,62595394;7,383218517;4,894776172;6,865853781;6,34523395;10,12128007;10,00524758;8,054120111;9,331997857;9,028847616;9,365118861;6,637991775;6,52660289;5,16755177;6,499590888;9,154501048;8,307848158;7,493366463;6,195569898;8,062218976;6,466762326;10,00790676;5,578305819;13,90347625;4,339573057;5,344237331;4,494553684;3,638392857;;;;;;;;;;
DLG IM Equity;EV_TO_T12M_EBITDA;Dynamic;;9,252590226;8,0585029;9,089070961;10,70244397;8,813662771;10,11404344;11,636831;10,61160558;13,91388434;8,464302914;7,516015515;7,581056588;4,637049542;4,745954796;4,632486182;3,451423671;6,006488491;7,99609772;7,307350768;7,07260717;4,823631022;4,963924683;10,28141622;;;;;;;;;;;;;;;;
ELUXB SS Equity;EV_TO_T12M_EBITDA;Dynamic;;16,59199053;11,91760019;6,18923718;5,084660112;8,717062891;6,252709932;6,465929905;5,991971291;9,139726934;9,766562743;11,38041325;7,539509925;6,568992433;6,740566202;6,758100197;5,876501249;5,203395232;5,884107722;6,271222263;5,043319232;4,648197708;4,04301362;6,468319324;5,253712964;8,364008955;6,893070267;6,806736202;5,493210038;3,756272774;3,748728439;6,316436474;7,533412465;6,075829871;5,141047465;5,34332544;;;;
002705 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;6,502966003;8,164007925;15,44679783;17,13366942;11,40670053;8,199814997;11,84166106;13,56380681;17,90486655;14,14722043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000651 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;4,925383147;6,432216439;7,583907245;10,70313892;10,20569738;3,823798194;6,535924882;4,335808947;5,654675443;5,396419049;5,972572878;8,394503297;13,31789902;20,53601176;17,08277329;;23,94329786;9,792512794;7,835509533;12,49802118;8,955431353;6,757501501;;;13,36939924;16,6230709;;25,91593277;;;;;;;;;;;
002508 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;9,127334253;11,75491186;19,99429086;17,8340111;15,52178033;9,272335143;24,77956579;17,50507979;20,73850323;13,84477051;20,12483744;12,30230838;15,60229266;30,83407608;;;;;;;;;;;;;;;;;;;;;;;;;
600690 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;6,784199908;9,074644165;12,34989927;13,07468165;11,74049825;8,578834332;11,09991869;10,89752202;;6,58772313;8,375894933;6,321168534;5,250659489;10,12769235;11,9214229;7,869669943;24,24694415;9,497053966;7,379851927;7,186952823;8,82853785;9,752969304;11,17557051;24,76080103;16,30508025;;29,08108471;16,98709426;5,963889093;8,203072321;16,14608229;;;;;;;;
002242 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;27,27576239;20,80230724;21,00551904;21,4135306;20,47037893;14,66913315;15,47325351;15,09516708;20,61577722;9,825551959;9,030507174;5,923877003;6,316167964;11,37308805;16,78364158;13,22814754;;;;;;;;;;;;;;;;;;;;;;;
066570 KS Equity;EV_TO_T12M_EBITDA;Dynamic;;3,900467295;3,56383741;4,358143873;4,417430545;4,11162809;4,00071697;5,855986319;5,00168095;5,189685285;4,639453262;5,791974746;6,441068237;11,25177342;16,28239279;5,233223054;3,123353475;4,045904067;6,14810906;6,004664963;3,995519916;4,26830262;;;;;;;;;;;;;;;;;;
000333 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6752 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;5,364135364;5,33005897;5,142252167;5,612353464;3,835669792;3,765148128;5,882654299;5,518503719;4,625165036;5,218352979;4,400189873;4,392346371;6,621422128;4,651569273;8,132006984;4,098958124;4,993175156;5,894555236;7,172195631;5,678992036;6,669672278;4,333508911;21,73873374;8,854301715;12,29796126;8,952129057;6,906100038;6,116796962;7,482074278;5,466389673;7,240765793;5,365453773;5,15983502;;;;;;
5947 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;7,325420321;6,594380934;6,483645382;8,879766175;5,303869535;6,245341793;9,004295233;8,030096169;9,471999959;9,406580564;8,929870036;7,317285108;6,7735144;6,819249371;7,39877677;6,278213024;6,025629411;7,750999704;9,604347559;7,073306424;5,481330999;5,567139395;6,319202801;4,900840799;4,078814175;;;;;;;;;;;;;;
SK FP Equity;EV_TO_T12M_EBITDA;Dynamic;;8,610679158;7,491329657;9,11630958;11,94924413;9,873420069;9,245797573;12,8476687;15,57095484;9,500366013;7,945150988;7,755083137;7,065322422;6,682822454;8,018852054;4,801147467;4,518303414;6,911972298;7,530515134;6,698157746;5,984006919;5,828850242;5,993000821;6,055664559;5,573008736;8,526289884;7,100510206;8,046685772;12,51578262;8,066799962;6,841809306;6,904982668;5,360124497;;;;;;;
COOK US Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WHR US Equity;EV_TO_T12M_EBITDA;Dynamic;;8,183476102;;5,583530559;6,505940471;5,987516863;13,29294372;9,455553073;8,794354918;8,174272251;11,06620137;7,41823365;6,64665493;3,768296296;5,109456174;6,321929101;4,831195462;4,755317414;6,02070028;5,038481797;4,821896552;4,890164577;4,119935145;5,407040933;4,124285159;4,878808544;5,513701932;9,524521207;10,07847958;9,824595061;6,875146542;9,096153846;7,35012837;8,607715465;6,535597381;7,115299377;7,025167114;6,192898305;;
002032 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;14,64335311;14,39061842;18,71412859;27,35881359;26,10518349;19,58369448;18,22426324;14,41807665;13,39684499;10,92326928;11,14480927;11,92810494;13,83440474;23,49804657;18,47259162;13,20984248;31,98160841;16,13531678;;12,30214557;;;;;;;;;;;;;;;;;;;
Hardware Global Household Appliances ;BEST_CUR_EV_TO_EBITDA;Average;8,932963469;7,397786498;6,892932555;7,611526195;8,17481177;8,091829517;2,593368374;4,015772491;;;6,041695248;4,768988341;4,656263462;3,687834489;;;;;;;;;;;;;;;;;;;;;;;;;;
ARCLK TI Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;7,03562174;5,124567377;5,501373587;6,984552403;3,539948359;3,051964865;;4,610173047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DLG IM Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;7,332075815;8,44566044;7,096605868;7,688570495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELUXB SS Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;6,743914122;5,285658229;4,830246248;5,477592613;;;;;;;6,041695248;4,768988341;4,656263462;3,687834489;;;;;;;;;;;;;;;;;;;;;;;;;;
002705 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;6,360147483;6,582727959;6,095282526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000651 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;6,036540856;4,681290621;5,062263668;6,533229286;8,407210084;8,911877371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
002508 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;9,266317065;7,397667897;7,282675799;9,616864041;10,81145021;8,882180811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600690 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;8,218697136;5,991995526;6,919787606;8,801205878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
002242 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;27,10623583;13,0783715;12,72294038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
066570 KS Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;3,327870971;3,420749069;2,942731351;8,53555398;3,99062802;2,801261701;2,593368374;3,421371934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000333 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6752 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;5,340883785;4,587622539;4,258486456;3,732550318;4,82321013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5947 JP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;6,107706745;6,390194373;5,326642209;5,104475912;7,764658335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SK FP Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;6,594651927;7,694394061;6,381495511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COOK US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;9,791838833;10,60657077;10,40703634;7,068488087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WHR US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;9,692450043;7,401943982;6,400334811;6,46709696;5,554365883;4,971142145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
002032 CH Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;15,03949969;14,27738313;12,16608596;15,32813437;20,50702314;19,93255021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hardware Global Household Appliances ;EV_TO_T12M_SALES;Average;;0,918667019;0,9288463;1,253108029;1,566259875;1,300068134;0,960119127;1,47251471;1,271501678;1,343869225;0,995675953;1,008811319;0,806991762;0,754605943;1,137452319;0,946796012;0,65134853;0,923825588;0,661731818;0,596863209;0,614396454;0,568472364;0,548628476;0,83701802;0,857193463;1,133296618;0,944035912;1,247155582;1,107809653;0,70623122;0,776452338;1,04077309;0,672265281;0,628878738;0,499978135;0,594105555;0,642392715;0,632003482;;
ARCLK TI Equity;EV_TO_T12M_SALES;Dynamic;;0,603428416;0,487076007;0,746964387;0,631556864;0,696734133;0,643406596;0,929307241;1,091260245;0,861605676;1,009018675;0,967298049;0,910837;0,679537389;0,781138887;0,729363104;0,58101151;0,914722495;0,776134488;0,819310188;0,677546941;0,949914842;0,752753556;1,194904916;0,940046717;2,56690903;0,767339047;1,307223612;0,943573131;0,550539789;;;;;;;;;;
DLG IM Equity;EV_TO_T12M_SALES;Dynamic;;1,316998125;0,942434925;1,355943299;1,561257182;1,213025989;1,481958798;1,780728135;1,677297708;2,098106497;1,272372941;1,110885032;1,112570052;0,659133664;0,547329945;0,4286033;0,322465125;0,641637253;0,735368543;0,69536722;0,766426889;0,581400613;0,715737848;1,668415407;;;;;;;;;;;;;;;;
ELUXB SS Equity;EV_TO_T12M_SALES;Dynamic;;0,405880632;0,457247783;0,556204183;0,454488635;0,586847259;0,450880913;0,609485274;0,505116257;0,494093293;0,631578547;0,514642283;0,497017896;0,400225035;0,555215834;0,446052448;0,249546059;0,366610524;0,407220959;0,492905311;0,404925226;0,409461874;0,362125276;0,503593737;0,500966533;0,771755607;0,593680076;0,532371102;0,443751495;0,315520426;0,417134721;0,455053948;0,50368855;0,431928483;0,397019533;0,473807282;;;;
002705 CH Equity;EV_TO_T12M_SALES;Dynamic;;0,849023101;0,910643003;1,351548063;2,510247871;1,426560737;0,887755325;1,158835949;1,369624042;1,484753984;1,214427315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
