Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
BIGISFTP Index;BEST_CUR_EV_TO_EBITDA;Average;151,4171572;85,49132588;26,61004659;63,79814752;102,8115585;12,09913557;8,350704638;;8,353086823;9,065019317;7,300413177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AKAM US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;10,20389008;10,99689104;8,086471622;9,289045698;8,7309909;7,163361857;4,760788395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BB US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;140,4435464;46,44029165;106,6327022;21,81544009;13,86301721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOX US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;15,76694084;11,95727152;12,52969333;10,68420621;9,847703565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRZE US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;1583,543033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NET US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;84,60092889;94,99352253;59,3250878;206,1937309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CVLT US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;32,49812184;16,45666386;10,7697288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRWD US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;76,20263797;57,2664268;27,43803404;53,58325798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DBX US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;9,212997757;10,63882566;8,704566992;10,11583335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DT US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;29,32820885;32,66302789;25,67706311;25,89355092;25,99403577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DDOG US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;55,32339274;63,4250641;36,01650157;107,1512159;63,39862322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIVN US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;14,66558366;30,88048706;23,31041934;47,38684632;55,78536369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FSLY US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;41,92991881;97,3850883;53,94291457;99,76126984;94,18407729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FTNT US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;32,68210464;25,92231768;20,46042199;33,81514452;14,13317456;;;;8,353086823;9,065019317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GEN US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;11,02816773;10,31113545;5,997587192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HCP US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFA US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;15,38870586;16,55192123;11,93082424;19,65042689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KNBE US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;65,72915954;65,72915954;71,06731574;92,0450579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LSPD CN Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;29,38687304;48,80942643;32,00419746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MSFT US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;21,66765107;19,61052206;13,10946043;16,30935973;13,70591909;10,81199162;;;;;7,300413177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDB US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;84,12825257;93,41510366;89,53885819;549,7376363;111,7471959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NICE US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;11,40979761;13,78312289;13,48316463;19,27075258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCL US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;20,86139295;12,77242284;9,105731086;10,88924632;9,18810908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PANW US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;42,27714924;31,28260941;18,09876819;20,90353919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAY US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;44,93788998;31,83558836;14,21904683;66,73674629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCTY US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;19,84405235;15,89950182;20,32866034;27,23806155;25,66432009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLYS US Equity;BEST_CUR_EV_TO_EBITDA;Dynamic;16,16479219;25,60048964;14,55035279;20,09043082;17,95506916;8,550726774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
