Ticker;Field Mnemonic;Data State;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985
BREMSODC Index;EV_TO_T12M_EBITDA;Median;7,441300697;10,85467837;8,945205314;9,852845518;9,249227349;9,084695145;8,284801885;9,148184543;7,264331507;7,249735035;7,760266186;7,572968659;6,278007663;7,041857401;8,463385812;8,991844676;4,302041731;8,807296483;8,418513494;8,38484458;9,639428812;13,60070171;8,802233588;14,12060676;18,4490166;23,93986701;16,56298065;19,16174466;10,3857727;9,348129735;9,864675121;14,85730382;9,71855706;6,763509485;5,358137741;4,212779262;2,823473399;3,770073871;;
2311 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;6,645212039;5,980920033;6,721653891;6,204296623;5,640807529;6,214015493;5,577484375;5,425699095;6,976853696;3,497540047;5,561536713;5,475893424;8,38484458;6,190796362;;8,908660612;13,70897163;5,209607612;23,93986701;17,90066624;20,85946921;10,62273076;8,691772638;13,78314272;22,94480812;30,90911552;28,24554799;;;;;;
8101 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;;;;;;28,79332274;6,722519953;6,712497175;114,5519281;10,33411924;14,94154825;9,259407581;;37,03315273;6,529457866;14,21086101;4,384402192;;;;;;;;;;;;;;;;;;;
285 HK Equity;EV_TO_T12M_EBITDA;Dynamic;;10,88921856;9,602711025;10,05159284;9,209422254;7,566435849;3,335031508;6,285935805;3,024274018;2,600859516;6,372791284;3,742986267;1,435186296;1,463556997;3,48137854;8,991844676;2,98927897;21,00781187;;;;;;;;;;;;;;;;;;;;;;
CLS CN Equity;EV_TO_T12M_EBITDA;Dynamic;;7,191548326;4,369229659;6,08995616;4,594306879;4,524296731;7,842510683;5,376040446;5,824464916;7,191348579;7,56482169;6,501839717;5,004804331;3,326958721;6,779557168;7,402948353;1,854117769;4,13196052;6,298881571;7,08198819;12,16185752;16,73154552;4,724498277;14,53224189;18,53149369;34,41292709;28,25849655;;;;;;;;;;;;;
2324 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;10,55552492;8,900217199;9,188042349;6,979134637;6,642597912;7,67522957;7,866387619;5,328787739;4,783900772;5,511012177;8,183679908;5,64295503;5,323775889;5,143109086;6,124394025;1,969278041;4,212567627;3,361527998;6,44631088;7,280762119;9,425139226;7,55536448;15,11297586;12,15564351;20,85762883;15,36733233;21,28223754;13,53076876;27,33994515;23,46235714;16,89403744;;;;;;;;
3062 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;;;;56,34592082;30,06217377;22,52505938;26,07012854;14,01191142;2,713635499;11,93264347;41,27402738;63,36363093;5,358976043;18,78286184;18,11622749;9,022630166;18,74400391;27,09691671;9,701001512;6,802933769;;;;;;;;;;;;;;;;;;;
2362 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;23,80169076;19,1329285;18,87629988;26,57722987;43,8923458;32,30371053;63,79414331;25,85899523;24,38418391;26,14746834;22,86657714;14,65035197;19,28716245;28,48376543;28,35843339;17,43113103;48,67283116;;;24,5918354;16,2236355;15,26749706;16,0565047;;218,1369966;428,8900102;20,02407637;;;;;;;;;;;;
CTS US Equity;EV_TO_T12M_EBITDA;Dynamic;;11,69832462;9,4031645;10,27041551;14,33277733;12,10095806;9,538770132;13,70470178;8,644086584;14,77950168;9,03754899;15,92518484;12,60648916;7,277630102;8,25629006;191,1194563;3,650153997;6,271948186;10,01083407;7,530325892;9,639428812;8,950917734;7,463900953;14,5891127;6,863653285;17,14381192;9,391802135;7,877960719;4,183284015;4,653461688;4,452701944;4,154280311;5,904801833;5,696265575;3,888999253;4,212779262;2,823473399;3,770073871;;
FN US Equity;EV_TO_T12M_EBITDA;Dynamic;;24,297405;13,97109318;10,53099697;15,82977929;11,64604779;9,529316483;9,148184543;10,6470223;12,40998067;8,126304897;4,959686122;4,494815348;;8,034857076;5,340150345;;;;;;;;;;;;;;;;;;;;;;;;
2038 HK Equity;EV_TO_T12M_EBITDA;Dynamic;;;;1,633118044;7,973603277;4,572195167;;;1,646678283;1,228988135;2,782089553;8,009238589;;9,468464218;44,61663644;22,60068261;4,302041731;17,50958364;24,10886623;21,4642181;;;;;;;;;;;;;;;;;;;;
2354 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;10,48258075;1,127085846;6,276924227;3,850716636;4,797704142;2,820260426;5,003685098;5,280627216;1,950095645;5,042517611;4,61208415;6,341999832;7,921325586;8,867010749;9,682913202;6,436252691;16,74644737;31,52972467;;13,66981101;12,25392144;;;;;;;;;;;;;;;;;;
FLEX US Equity;EV_TO_T12M_EBITDA;Dynamic;;7,39591763;7,046384595;6,454958925;6,856928138;4,642752636;5,77017957;8,416235606;9,333879489;7,368181515;6,299523345;6,107478676;5,415725226;5,038879851;5,184017144;6,367451664;;6,91851065;8,143126677;8,06083814;9,347055537;15,60569734;8,695806563;13,15207596;9,94879844;32,81450966;17,75862896;12,6610667;10,67329292;395,6944051;10,26207739;15,49101247;;;;;;;;
601138 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;9,198645266;6,645761162;8,588909708;10,99232232;14,00902895;7,928725908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
002241 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;14,79423391;11,46601975;25,25880492;21,75786459;17,17398909;9,244557896;14,11567729;15,81968019;23,93854953;15,95064355;26,89402991;23,34498547;22,74930767;45,17337182;39,85457978;14,09512312;;;;;;;;;;;;;;;;;;;;;;;
3005 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;11,40810887;5,051762551;8,369508075;6,478160247;6,365781834;5,978177391;7,380683974;6,675821763;3,585762345;4,473071641;4,708016028;4,773495414;5,211172065;4,818909766;4,680486946;2,598670471;8,616190384;4,456224332;8,75856405;;;;;;;;;;;;;;;;;;;;
2317 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;4,952341856;5,92754404;6,396097861;5,603794101;6,691787781;5,222602992;9,353091348;5,260284251;3,644801253;5,075118675;5,072135202;5,934913009;7,298992091;9,672701099;10,70196574;5,171293091;10,99661759;13,11562272;11,81524016;11,07137028;10,98317761;9,475166795;15,49549904;19,22054058;26,81285683;18,58824097;19,16174466;10,75229427;8,925606245;16,23132833;;;;;;;;;
2356 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;19,11969581;11,72511785;14,76936712;11,26416661;8,591220782;7,421938347;6,887142036;5,812806209;6,062976912;5,718127702;6,349918384;4,013302004;20,27745133;6,629541596;6,587976819;5,431017231;8,362394237;9,934112143;;14,00256901;13,24739732;9,079891374;20,95076902;14,31420509;27,90652672;25,28658568;18,65850661;7,784094089;;;;;;;;;;;
JBL US Equity;EV_TO_T12M_EBITDA;Dynamic;4,895635858;6,428185493;4,234980493;5,365350067;5,014273077;3,916238275;4,665476085;5,530983544;4,255206994;4,13198122;7,072826698;6,37652588;5,708035533;4,167902765;4,280080441;;7,010040382;10,42190742;9,700686896;11,75926465;8,749179399;15,03817915;11,57228811;12,71415278;37,27143823;18,11799019;6,655739494;20,59664052;3,230767538;10,66661335;9,064568053;6,620854393;;;;;;;;
2301 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;10,85467837;4,75631672;6,26856907;4,954909482;5,772357111;5,1600843;4,794384219;4,343112355;3,139055034;4,52949279;5,476124631;4,387398064;3,672203187;3,69003054;5,645373596;3,270729491;8,998402582;8,693900311;7,430155883;5,819625832;7,369248879;8,506479552;6,35579095;4,313397002;11,65769224;;31,0898769;10,14088924;9,368485397;;;;;;;;;;
002475 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;12,29056323;13,64641004;28,26061313;36,98426977;26,47951283;13,63182146;27,25752964;23,25162658;27,85127273;22,50856823;31,71053936;22,79366608;19,44543761;53,50715771;;;;;;;;;;;;;;;;;;;;;;;;;
4938 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;8,437765656;6,084421002;7,644046919;6,045713194;4,55035444;6,174697812;5,338955471;3,41852001;3,403035217;3,568189344;3,56112426;4,179177146;8,20864319;5,105143707;;;;;;;;;;;;;;;;;;;;;;;;;
PLXS US Equity;EV_TO_T12M_EBITDA;Dynamic;14,25265816;10,04312721;10,5178275;10,41230432;9,249227349;9,671057186;10,53067542;9,249752451;9,497003534;7,189251224;8,025606819;7,935180939;6,75406447;5,594367748;8,463385812;10,27872919;6,399807699;10,09704628;6,943038659;12,42003264;13,14851752;40,6662268;6,537412373;9,403962394;31,57543523;10,09503052;6,763299577;16,54157621;6,1601542;9,327774073;9,864675121;14,85730382;13,04907758;6,763509485;6,827276228;;;;;
2352 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;15,17603224;10,5602532;10,07898721;10,06891341;8,910832207;10,02500774;13,04753285;7,553520195;9,970749477;11,11779235;9,054904416;23,62841533;12,09890324;13,16890419;12,51229528;47,61007035;1812,103742;;;14,06876888;11,33306471;6,553770452;14,95204433;18,4490166;68,38376172;31,21509853;15,05276634;10,3857727;;;;;;;;;;;
2382 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;14,9502166;7,980712347;8,488723037;6,970089005;9,679270273;11,45724159;11,35312792;8,109494439;8,459150906;14,69055881;12,42300828;9,861508674;12,51936491;10,71795542;8,699648038;4,460410437;6,237273272;10,08413938;12,2055235;13,44531502;15,66227447;12,96398133;22,21818479;;;;;;;;;;;;;;;;
SANM US Equity;EV_TO_T12M_EBITDA;Dynamic;7,441300697;4,904913384;5,239831868;5,47546403;4,538020832;5,383709864;8,640877861;7,924035247;6,365938223;5,905170976;6,228361005;6,536493672;4,989955774;3,605933386;5,67416473;13,85252932;5,339773303;;8,981712617;6,896849377;10,19327444;15,78252848;7,784333572;9,256257484;25,99055974;19,25996923;8,107423211;19,62026683;12,20427801;11,46183191;7,497126693;11,07907389;;;;;;;;
000021 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;19,68037542;32,66042353;21,21319777;21,79078408;28,45534798;14,14469852;20,67654134;22,33932888;60,99741525;75,88668639;99,34679121;37,55650825;23,60720963;32,86999805;21,4846419;4,840812929;69,3885251;16,64610889;13,34933817;16,29327933;13,9540061;18,73508911;;;38,92822811;;;12,20227125;4,684842991;13,31524347;;;;;;;;;
002369 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;;140,0120798;40,56114018;;24,09659991;;41,20980053;39,18254434;86,26157125;28,05882294;23,67933345;26,37565125;22,84628784;44,91134029;;;;;;;;;;;;;;;;;;;;;;;;;
7613 JP Equity;EV_TO_T12M_EBITDA;Dynamic;;5,33744739;6,620798013;9,852845518;9,298494775;9,267256392;7,301831565;10,19762479;8,547965104;7,883365309;7,760266186;5,557193935;5,096421686;6,162729352;4,735077584;6,833639835;2,318647709;4,490452611;5,076465064;7,042214839;7,723047739;9,916105083;11,24576271;8,78133515;4,720131531;13,88365929;;;;;;;;;;;;;;
SVI TB Equity;EV_TO_T12M_EBITDA;Dynamic;;12,50871073;11,98199748;12,6195642;11,74282606;11,63877857;8,798799059;8,452455778;3,846112621;3,47726662;12,48313024;10,24727114;13,43696835;6,430429585;8,494143381;4,739667514;1,052653475;3,522637034;4,782464027;3,592785315;5,640640384;8,348416552;8,01731881;6,50441457;26,21769077;;;;;;;;;;;;;;;
VMS SP Equity;EV_TO_T12M_EBITDA;Dynamic;;9,7136729;9,12664657;12,00189565;12,81290594;9,258558083;7,468496941;10,95546506;9,368807349;9,118020648;15,23128413;10,80301215;10,71815901;6,8060847;9,343491561;10,48210354;2,522833035;10,31420184;10,84559287;13,77021004;16,76722331;15,26471221;12,33017061;17,83765827;22,06116041;45,65681829;13,96420984;13,08832498;9,336984929;10,29947826;7,668912048;18,15498682;6,38803654;;;;;;;
303 HK Equity;EV_TO_T12M_EBITDA;Dynamic;;5,266431477;6,233007777;6,847650479;6,541617983;6,295784851;10,0508074;10,89313422;11,63058518;11,39952571;13,05187052;11,25514774;10,85507487;12,18653938;9,930462677;8,785355696;3,077804232;3,537271625;6,825628592;5,284741507;2,752146008;4,162663765;0,621568225;6,278569468;;11,87232542;4,429232032;6,593492935;3,888899218;5,480596809;5,638731929;8,660257227;;;;;;;;
600745 CH Equity;EV_TO_T12M_EBITDA;Dynamic;;12,77584868;15,72812788;33,55744572;26,84260096;55,68655132;29,86061678;37,35586026;38,18611732;;40,93264182;42,60641474;28,43578749;31,6802031;44,92772316;28,81647528;16,10496338;;;;;;184,9614109;;;;;24,82162962;13,73041181;;;;;;;;;;;
3231 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;9,065024338;4,530109662;7,512960165;6,062083065;5,137111441;5,053894783;6,543358822;4,501095477;7,30812149;9,008338776;5,352519529;5,377659881;5,389399529;6,204037568;6,503204093;3,167567326;8,077132322;5,510785218;7,269471532;6,351762461;21,36628766;;;;;;;;;;;;;;;;;;
6285 TT Equity;EV_TO_T12M_EBITDA;Dynamic;;11,66368669;8,990193428;15,18715045;9,705205964;9,662310588;9,065849942;7,634676073;6,975142818;7,849904671;6,878254336;7,572968659;5,536896263;4,598947887;6,780777836;7,761360449;2,906358385;6,029295853;6,952164978;;;;;;;;;;;;;;;;;;;;;
BREMSODC Index;EV_TO_T12M_SALES;Average;0,627045449;1,029927254;0,752558275;0,956388047;0,938276923;0,85468059;0,629567202;0,869893554;0,813612471;2,195271325;0,963817947;1,026918889;0,927463705;0,937676609;1,359340571;1,008230681;0,468830466;0,866202649;7,098511172;4,106293225;1,149378073;1,025725832;2,080791449;3,984491797;2,557601396;3,797401712;2,134335132;3,109067575;1,520242111;1,028495797;1,187072032;1,50929751;1,382303319;1,914922125;0,436899773;0,473429274;0,442657117;0,449232594;;
2311 TT Equity;EV_TO_T12M_SALES;Dynamic;;;;;;;;1,245200937;1,22129239;1,290775805;1,353980421;1,219054434;1,317397454;1,196661428;1,263509681;2,183774543;1,055224679;1,940038968;1,842537794;2,080545367;1,692350917;;2,267106861;3,810715741;1,890742421;7,637163773;5,24028769;6,363307708;2,474101139;1,918637844;2,587322755;3,630957188;2,86136198;4,766985575;;;;;;
8101 TT Equity;EV_TO_T12M_SALES;Dynamic;;3,005686487;1,846221496;1,062818259;0,506853636;0,833289288;0,154448359;0,223457502;0,254427746;0,196649404;0,174699048;0,169241985;0,37790337;0,290174502;0,382426125;0,282908423;;0,318990423;0,313102714;0,348915275;0,202726169;;;;;;;;;;;;;;;;;;;
285 HK Equity;EV_TO_T12M_SALES;Dynamic;;0,622734687;0,435636845;0,562758187;1,043324038;0,552372868;0,358865546;0,750965642;0,247395017;0,191860106;0,587396514;0,333510295;0,108709724;0,121757284;0,37682018;1,018473044;0,501700651;5,05998446;;;;;;;;;;;;;;;;;;;;;;
CLS CN Equity;EV_TO_T12M_SALES;Dynamic;;0,491059624;0,245942431;0,31775376;0,201896612;0,218750281;0,231023727;0,192279631;0,224885432;0,234262082;0,263834457;0,230297561;0,151593148;0,129794286;0,221584031;0,23792674;0,077611084;0,12123913;0,19543495;0,257914456;0,343126236;0,398707269;0,269821203;0,821582082;0,922596012;1,632667957;1,160275135;;;;;;;;;;;;;
2324 TT Equity;EV_TO_T12M_SALES;Dynamic;;0,222114531;0,139015619;0,150583655;0,117672088;0,115215973;0,112750017;0,127667603;0,116372363;0,097409863;0,115462517;0,174908512;0,126960741;0,144594439;0,171250951;0,257001138;0,09116679;0,203763966;0,163552445;0,336880826;0,395901164;0,712724562;0,641332617;1,055779837;0,949590007;2,389325326;1,997503271;1,746306933;0,986437649;0,688799662;0,936878945;0,877129175;;;;;;;;
3062 TT Equity;EV_TO_T12M_SALES;Dynamic;;1,553638087;1,158578167;2,026214598;0,815241961;0,746671711;0,407776555;0,496753927;0,425509988;0,141769654;0,413642565;0,702020978;0,629798299;0,332654941;0,741092915;0,97002413;0,363305206;1,507193099;1,697439185;0,694529539;0,601136107;;;;;;;;;;;;;;;;;;;
2362 TT Equity;EV_TO_T12M_SALES;Dynamic;;1,997429227;1,92776008;1,655157399;2,334861638;2,374105303;2,676030235;2,700254635;2,915616534;3,326441635;3,770329728;3,818751541;2,677941265;3,098846798;3,262525879;1,960596922;1,342093708;2,193912983;2,544164309;1,296976225;0,843934655;0,59664755;0,597179912;0,982095419;0,348274478;0,817543477;1,064080271;1,490928162;;;;;;;;;;;;
CTS US Equity;EV_TO_T12M_SALES;Dynamic;;2,32773328;2,046982689;2,173581742;2,58767762;2,135759147;1,693968373;1,917037633;1,790316265;1,328574022;1,326347962;1,511228132;1,311487911;0,529128398;0,678381841;0,651897893;0,31965569;0,526081261;0,899978585;0,755198452;0,966816662;1,005005556;0,765410036;1,091656625;1,369961534;3,282608263;1,743350483;1,314781807;0,597760786;0,607284662;0,52894136;0,406068663;0,387203089;0,435280316;0,370706932;0,473429274;0,442657117;0,449232594;;
FN US Equity;EV_TO_T12M_SALES;Dynamic;;2,772969926;1,573579841;1,142635032;1,597044352;1,066670318;0,917754613;0,819587449;0,971595407;1,107442506;0,631406433;0,746125261;0,567514735;0,629822472;0,855126551;0,589810203;;;;;;;;;;;;;;;;;;;;;;;;
2038 HK Equity;EV_TO_T12M_SALES;Dynamic;;;;0,04497404;0,018245658;0,04126044;0,023772306;0,061791487;0,074702655;0,057579418;0,150299208;0,340962713;0,270196157;0,50001207;0,647243848;1,011490664;0,217363722;1,423192059;2,153366776;1,754232302;;;;;;;;;;;;;;;;;;;;
2354 TT Equity;EV_TO_T12M_SALES;Dynamic;;0,377787141;0,052512197;0,297287978;0,149293653;0,350914959;0,208901753;0,432682313;0,928056841;0,30409399;0,826740144;0,546697435;0,637113224;0,738074052;0,871091438;0,746969063;0,476628528;1,598772142;3,305813457;;0,876912735;1,112613573;;;;;;;;;;;;;;;;;;
FLEX US Equity;EV_TO_T12M_SALES;Dynamic;;0,435943356;0,412122768;0,399577351;0,449946827;0,236455837;0,248883841;0,39667025;0,422452797;0,318287086;0,29134835;0,23027967;0,203637872;0,191082797;0,215052962;0,27815569;0,111799558;0,346160328;0,394310246;0,434065321;0,490033743;0,699925913;0,390346398;0,746263692;0,64055499;2,141926061;1,200070897;0,938372005;0,735114987;1,052016743;0,706024132;0,997312406;;;;;;;;
601138 CH Equity;EV_TO_T12M_SALES;Dynamic;;0,562232026;0,336921983;0,48009154;0,549451648;0,786862815;0,459001523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
002241 CH Equity;EV_TO_T12M_SALES;Dynamic;;0,776956855;0,585181934;2,328207742;2,16666035;1,941072982;1,17254773;2,311291133;2,298517554;4,061567595;3,159594899;5,476877048;4,547265577;4,805415123;7,904436342;6,104432657;2,786178975;;;;;;;;;;;;;;;;;;;;;;;
3005 TT Equity;EV_TO_T12M_SALES;Dynamic;;1,736348869;0,67992594;1,058408388;0,985660088;0,94868652;0,847131568;1,096860711;0,961424299;0,469424138;0,498571293;0,545572454;0,560699729;0,527587124;0,541042896;0,813580022;0,333198001;0,797792639;0,085247114;0,179801048;;;;;;;;;;;;;;;;;;;;
2317 TT Equity;EV_TO_T12M_SALES;Dynamic;;0,200969157;0,223068027;0,239489944;0,184011555;0,227834118;0,193435614;0,344915011;0,287500483;0,191525299;0,25708618;0,234756854;0,26713006;0,283912755;0,41075174;0,665808902;0,275589531;0,758348929;0,910998578;0,796328272;0,891643317;0,886211158;0,922799459;1,859862132;2,568125581;4,393687807;3,335419568;3,629854823;2,129553214;1,629317194;2,619184918;;;;;;;;;
