Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
ADV GR Equity,Dynamic,1999,Hardware. Data Networking Equipment Dashboard,,"325,0394639","38,81212234"
ADV GR Equity,Dynamic,2000,Hardware. Data Networking Equipment Dashboard,,,"33,6395142"
ADV GR Equity,Dynamic,2001,Hardware. Data Networking Equipment Dashboard,,"6,573684805","1,735271206"
ADV GR Equity,Dynamic,2002,Hardware. Data Networking Equipment Dashboard,,"3,711216901","0,371631652"
ADV GR Equity,Dynamic,2003,Hardware. Data Networking Equipment Dashboard,,"9,691839981","1,321750909"
ADV GR Equity,Dynamic,2004,Hardware. Data Networking Equipment Dashboard,,"9,930040447","1,422188376"
ADV GR Equity,Dynamic,2005,Hardware. Data Networking Equipment Dashboard,,"9,097598649","1,544676382"
ADV GR Equity,Dynamic,2006,Hardware. Data Networking Equipment Dashboard,,"23,25968785","1,994180632"
ADV GR Equity,Dynamic,2007,Hardware. Data Networking Equipment Dashboard,,"4,429408445","0,61083445"
ADV GR Equity,Dynamic,2008,Hardware. Data Networking Equipment Dashboard,,"3,16504509","0,178469277"
ADV GR Equity,Dynamic,2009,Hardware. Data Networking Equipment Dashboard,,"4,636314649","0,404727598"
ADV GR Equity,Dynamic,2010,Hardware. Data Networking Equipment Dashboard,,"8,39752905","0,86317013"
ADV GR Equity,Dynamic,2011,Hardware. Data Networking Equipment Dashboard,,"3,75624659","0,453825184"
ADV GR Equity,Dynamic,2012,Hardware. Data Networking Equipment Dashboard,,"3,29670527","0,450615341"
ADV GR Equity,Dynamic,2013,Hardware. Data Networking Equipment Dashboard,,"3,927841162","0,441364132"
ADV GR Equity,Dynamic,2014,Hardware. Data Networking Equipment Dashboard,,"2,258926933","0,279222252"
ADV GR Equity,Dynamic,2015,Hardware. Data Networking Equipment Dashboard,,"7,771342128","1,126545493"
ADV GR Equity,Dynamic,2016,Hardware. Data Networking Equipment Dashboard,,"6,001319477","0,624207714"
ADV GR Equity,Dynamic,2017,Hardware. Data Networking Equipment Dashboard,,"6,601488468","0,657837875"
ADV GR Equity,Dynamic,2018,Hardware. Data Networking Equipment Dashboard,,"5,269906823","0,675623427"
ADV GR Equity,Dynamic,2019,Hardware. Data Networking Equipment Dashboard,,"6,295901352","0,838901739"
ADV GR Equity,Dynamic,2020,Hardware. Data Networking Equipment Dashboard,,"4,143637291","0,676247872"
ADV GR Equity,Dynamic,2021,Hardware. Data Networking Equipment Dashboard,,"5,947971162","1,140680868"
ADV GR Equity,Dynamic,2022,Hardware. Data Networking Equipment Dashboard,"7,239882857","13,35292002","1,637945989"
ADV GR Equity,Dynamic,2023,Hardware. Data Networking Equipment Dashboard,"7,988712121","13,58934675","1,716962346"
ADV GR Equity,Dynamic,2024,Hardware. Data Networking Equipment Dashboard,"24,18075",,
ANET US Equity,Dynamic,2014,Hardware. Data Networking Equipment Dashboard,,"26,38200215","6,121591423"
ANET US Equity,Dynamic,2015,Hardware. Data Networking Equipment Dashboard,"5,098430281","28,58414201","5,56192089"
ANET US Equity,Dynamic,2016,Hardware. Data Networking Equipment Dashboard,,"22,89787303","5,33646349"
ANET US Equity,Dynamic,2017,Hardware. Data Networking Equipment Dashboard,,"32,32289388","9,639066594"
ANET US Equity,Dynamic,2018,Hardware. Data Networking Equipment Dashboard,"7,118761136","46,59137859","6,519032114"
ANET US Equity,Dynamic,2019,Hardware. Data Networking Equipment Dashboard,"6,528374517","14,99387297","5,356202125"
ANET US Equity,Dynamic,2020,Hardware. Data Networking Equipment Dashboard,"9,736160772","25,20781327","8,349981005"
ANET US Equity,Dynamic,2021,Hardware. Data Networking Equipment Dashboard,"21,88067613","40,96717505","13,87284276"
ANET US Equity,Dynamic,2022,Hardware. Data Networking Equipment Dashboard,"14,37848927","21,24069947","7,824421121"
ANET US Equity,Dynamic,2023,Hardware. Data Networking Equipment Dashboard,"23,90075801","29,17146701","11,70518848"
ANET US Equity,Dynamic,2024,Hardware. Data Networking Equipment Dashboard,"41,91075374",,
CASA US Equity,Dynamic,2017,Hardware. Data Networking Equipment Dashboard,,"10,25367241","4,198588296"
CASA US Equity,Dynamic,2018,Hardware. Data Networking Equipment Dashboard,,"12,48755858","3,716087498"
CASA US Equity,Dynamic,2019,Hardware. Data Networking Equipment Dashboard,,"93,26064965","1,851027181"
CASA US Equity,Dynamic,2020,Hardware. Data Networking Equipment Dashboard,,"15,4009006","1,652035087"
CASA US Equity,Dynamic,2021,Hardware. Data Networking Equipment Dashboard,"7,436752676","17,68341653","1,495263789"
