Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
5201 JP Equity,Dynamic,1992,Hardware. Global Display Components,,,"1,117481116"
5201 JP Equity,Dynamic,1993,Hardware. Global Display Components,,,"1,346100605"
5201 JP Equity,Dynamic,1994,Hardware. Global Display Components,,,"7,124782401"
5201 JP Equity,Dynamic,1995,Hardware. Global Display Components,,,"1,519889322"
5201 JP Equity,Dynamic,1996,Hardware. Global Display Components,,"13,16281873","1,363249159"
5201 JP Equity,Dynamic,1997,Hardware. Global Display Components,,"9,18362115","1,044956071"
5201 JP Equity,Dynamic,1998,Hardware. Global Display Components,,"11,52204174","1,232410326"
5201 JP Equity,Dynamic,1999,Hardware. Global Display Components,,"11,44541871","1,449046612"
5201 JP Equity,Dynamic,2000,Hardware. Global Display Components,,"9,091894165","1,489284189"
5201 JP Equity,Dynamic,2001,Hardware. Global Display Components,,"11,33154121","1,561850504"
5201 JP Equity,Dynamic,2004,Hardware. Global Display Components,,"7,256944489","1,376542926"
5201 JP Equity,Dynamic,2005,Hardware. Global Display Components,,"9,414266971","1,533208459"
5201 JP Equity,Dynamic,2006,Hardware. Global Display Components,,"8,32972095","1,390152678"
5201 JP Equity,Dynamic,2007,Hardware. Global Display Components,,"6,817641624","1,356445632"
5201 JP Equity,Dynamic,2008,Hardware. Global Display Components,,"3,955187686","0,797712779"
5201 JP Equity,Dynamic,2009,Hardware. Global Display Components,,"7,001457312","1,370890413"
5201 JP Equity,Dynamic,2010,Hardware. Global Display Components,,"4,39476988","1,161235276"
5201 JP Equity,Dynamic,2011,Hardware. Global Display Components,,"4,135707464","0,94412203"
5201 JP Equity,Dynamic,2012,Hardware. Global Display Components,,"5,416642879","0,992155894"
5201 JP Equity,Dynamic,2013,Hardware. Global Display Components,,"5,852424918","0,951631002"
5201 JP Equity,Dynamic,2014,Hardware. Global Display Components,,"5,986567943","0,873506255"
5201 JP Equity,Dynamic,2015,Hardware. Global Display Components,,"6,004470698","0,933502507"
5201 JP Equity,Dynamic,2016,Hardware. Global Display Components,,"5,920108415","0,998313517"
5201 JP Equity,Dynamic,2017,Hardware. Global Display Components,,"6,387654148","1,074198668"
5201 JP Equity,Dynamic,2018,Hardware. Global Display Components,,"5,371900884","0,849258297"
5201 JP Equity,Dynamic,2019,Hardware. Global Display Components,,"6,085118768","0,977674683"
5201 JP Equity,Dynamic,2020,Hardware. Global Display Components,"5,507236206","6,749540279","1,046200584"
5201 JP Equity,Dynamic,2021,Hardware. Global Display Components,"4,829759422","4,832748244","1,055257405"
5201 JP Equity,Dynamic,2022,Hardware. Global Display Components,"3,855858978","4,375579316","0,791700038"
5201 JP Equity,Dynamic,2023,Hardware. Global Display Components,"5,162857478","6,17973758","0,924683389"
5201 JP Equity,Dynamic,2024,Hardware. Global Display Components,"5,560059379",,
5214 JP Equity,Dynamic,1991,Hardware. Global Display Components,,,"1,233445742"
5214 JP Equity,Dynamic,1992,Hardware. Global Display Components,,,"1,115688182"
5214 JP Equity,Dynamic,1993,Hardware. Global Display Components,,,"1,395953823"
5214 JP Equity,Dynamic,1994,Hardware. Global Display Components,,,"1,216507953"
5214 JP Equity,Dynamic,1995,Hardware. Global Display Components,,,"1,461941313"
5214 JP Equity,Dynamic,1996,Hardware. Global Display Components,,,"1,342872805"
5214 JP Equity,Dynamic,1997,Hardware. Global Display Components,,,"1,309209744"
5214 JP Equity,Dynamic,1998,Hardware. Global Display Components,,,"1,352351167"
5214 JP Equity,Dynamic,1999,Hardware. Global Display Components,,"6,142913422","1,324582911"
5214 JP Equity,Dynamic,2000,Hardware. Global Display Components,,"5,504712998","1,359676583"
5214 JP Equity,Dynamic,2001,Hardware. Global Display Components,,"6,542090074","1,289492679"
5214 JP Equity,Dynamic,2002,Hardware. Global Display Components,,"4,021823218","0,953486323"
5214 JP Equity,Dynamic,2003,Hardware. Global Display Components,,"7,333842608","1,603274405"
5214 JP Equity,Dynamic,2004,Hardware. Global Display Components,,"6,944344178","1,823450577"
5214 JP Equity,Dynamic,2005,Hardware. Global Display Components,,"11,88484127","3,289860696"
5214 JP Equity,Dynamic,2006,Hardware. Global Display Components,,"8,344538939","3,041697428"
5214 JP Equity,Dynamic,2007,Hardware. Global Display Components,,"5,627655756","2,135201363"
5214 JP Equity,Dynamic,2008,Hardware. Global Display Components,,"3,086702055","1,126953116"
5214 JP Equity,Dynamic,2009,Hardware. Global Display Components,,"4,509741721","1,988936294"
5214 JP Equity,Dynamic,2010,Hardware. Global Display Components,,"3,326159082","1,450580261"
5214 JP Equity,Dynamic,2011,Hardware. Global Display Components,,"2,957304316","1,017980578"
5214 JP Equity,Dynamic,2012,Hardware. Global Display Components,,"3,060362712","0,757051052"
5214 JP Equity,Dynamic,2013,Hardware. Global Display Components,,"4,558798396","0,939746284"
5214 JP Equity,Dynamic,2015,Hardware. Global Display Components,,"4,679394676","1,102646073"
5214 JP Equity,Dynamic,2016,Hardware. Global Display Components,,"5,699549285","1,209991571"
5214 JP Equity,Dynamic,2017,Hardware. Global Display Components,,"7,160759852","1,544859395"
5214 JP Equity,Dynamic,2018,Hardware. Global Display Components,,"4,767857118","0,867443088"
5214 JP Equity,Dynamic,2019,Hardware. Global Display Components,,"5,338516559","0,929463407"
5214 JP Equity,Dynamic,2020,Hardware. Global Display Components,"4,066658573","4,845616044","0,849697525"
