Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
000050 CH Equity,Dynamic,1995,Hardware. Global Display Panels Compeitive peers,,"13,42483586","4,053112875"
000050 CH Equity,Dynamic,1996,Hardware. Global Display Panels Compeitive peers,,"34,98300501","5,744137145"
000050 CH Equity,Dynamic,1997,Hardware. Global Display Panels Compeitive peers,,"40,15928987","9,734376863"
000050 CH Equity,Dynamic,1998,Hardware. Global Display Panels Compeitive peers,,"53,47838052","11,58867416"
000050 CH Equity,Dynamic,1999,Hardware. Global Display Panels Compeitive peers,,"47,050604","7,130591724"
000050 CH Equity,Dynamic,2000,Hardware. Global Display Panels Compeitive peers,,"54,17630732","9,699703785"
000050 CH Equity,Dynamic,2001,Hardware. Global Display Panels Compeitive peers,,"55,71898285","7,089039242"
000050 CH Equity,Dynamic,2002,Hardware. Global Display Panels Compeitive peers,,"355,9865879","4,86648711"
000050 CH Equity,Dynamic,2003,Hardware. Global Display Panels Compeitive peers,,"18,9092258","2,84591989"
000050 CH Equity,Dynamic,2004,Hardware. Global Display Panels Compeitive peers,,"15,60057998","2,421533284"
000050 CH Equity,Dynamic,2005,Hardware. Global Display Panels Compeitive peers,,"13,63652639","1,669903813"
000050 CH Equity,Dynamic,2006,Hardware. Global Display Panels Compeitive peers,,"16,67491896","2,179853576"
000050 CH Equity,Dynamic,2007,Hardware. Global Display Panels Compeitive peers,,"39,81712136","4,263231125"
000050 CH Equity,Dynamic,2008,Hardware. Global Display Panels Compeitive peers,,"124,5924835","3,221252156"
000050 CH Equity,Dynamic,2009,Hardware. Global Display Panels Compeitive peers,,"93,80130625","3,43608763"
000050 CH Equity,Dynamic,2010,Hardware. Global Display Panels Compeitive peers,,"25,09352644","3,781386541"
000050 CH Equity,Dynamic,2011,Hardware. Global Display Panels Compeitive peers,,"15,06921708","1,796643015"
000050 CH Equity,Dynamic,2012,Hardware. Global Display Panels Compeitive peers,,"15,18681385","2,091819816"
000050 CH Equity,Dynamic,2013,Hardware. Global Display Panels Compeitive peers,,"7,818850698","1,230897791"
000050 CH Equity,Dynamic,2014,Hardware. Global Display Panels Compeitive peers,,"16,96589328","2,604178157"
000050 CH Equity,Dynamic,2015,Hardware. Global Display Panels Compeitive peers,,"15,3954576","1,905591532"
000050 CH Equity,Dynamic,2017,Hardware. Global Display Panels Compeitive peers,,"10,17567167","1,960666667"
000050 CH Equity,Dynamic,2018,Hardware. Global Display Panels Compeitive peers,,"8,015704737","1,29465193"
000050 CH Equity,Dynamic,2019,Hardware. Global Display Panels Compeitive peers,,"11,60933875","1,864276598"
000050 CH Equity,Dynamic,2020,Hardware. Global Display Panels Compeitive peers,,"10,59438107","2,082223873"
000050 CH Equity,Dynamic,2021,Hardware. Global Display Panels Compeitive peers,,"15,46122747","1,771679743"
000050 CH Equity,Dynamic,2022,Hardware. Global Display Panels Compeitive peers,"8,172901922","11,78124844","1,582473531"
000050 CH Equity,Dynamic,2023,Hardware. Global Display Panels Compeitive peers,"23,45706709","15,70842298","1,788101951"
000050 CH Equity,Dynamic,2024,Hardware. Global Display Panels Compeitive peers,"19,84460606",,
005930 KS Equity,Dynamic,1993,Hardware. Global Display Panels Compeitive peers,,"2,271355447","0,70874928"
005930 KS Equity,Dynamic,1994,Hardware. Global Display Panels Compeitive peers,,"2,002528668","0,745802028"
005930 KS Equity,Dynamic,1995,Hardware. Global Display Panels Compeitive peers,,"2,270691202","0,70935416"
005930 KS Equity,Dynamic,1996,Hardware. Global Display Panels Compeitive peers,,"4,571413592","0,787765905"
005930 KS Equity,Dynamic,1997,Hardware. Global Display Panels Compeitive peers,,"5,627461023","0,967401738"
005930 KS Equity,Dynamic,1998,Hardware. Global Display Panels Compeitive peers,,"4,528430695","0,858642057"
005930 KS Equity,Dynamic,1999,Hardware. Global Display Panels Compeitive peers,,"5,489485836","1,452105891"
005930 KS Equity,Dynamic,2000,Hardware. Global Display Panels Compeitive peers,,"3,283314783","0,912515406"
005930 KS Equity,Dynamic,2001,Hardware. Global Display Panels Compeitive peers,,"7,83152942","1,279610915"
005930 KS Equity,Dynamic,2002,Hardware. Global Display Panels Compeitive peers,,"4,882027869","1,058997278"
005930 KS Equity,Dynamic,2003,Hardware. Global Display Panels Compeitive peers,,"7,109420635","1,162038183"
005930 KS Equity,Dynamic,2004,Hardware. Global Display Panels Compeitive peers,,"3,885152494","0,803215977"
005930 KS Equity,Dynamic,2005,Hardware. Global Display Panels Compeitive peers,,"6,766759059","1,141021069"
005930 KS Equity,Dynamic,2006,Hardware. Global Display Panels Compeitive peers,,"5,268149013","0,979347676"
005930 KS Equity,Dynamic,2007,Hardware. Global Display Panels Compeitive peers,,"4,467660136","0,792360055"
005930 KS Equity,Dynamic,2008,Hardware. Global Display Panels Compeitive peers,,"4,11025005","0,54649076"
005930 KS Equity,Dynamic,2009,Hardware. Global Display Panels Compeitive peers,,"4,277090735","0,693933799"
005930 KS Equity,Dynamic,2010,Hardware. Global Display Panels Compeitive peers,,"4,119064686","0,746266865"
005930 KS Equity,Dynamic,2011,Hardware. Global Display Panels Compeitive peers,,"4,478373469","0,788374283"
005930 KS Equity,Dynamic,2012,Hardware. Global Display Panels Compeitive peers,,"4,0541197","0,900545811"
