Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
005930 KS Equity,Dynamic,1993,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"2,271355447","0,70874928"
005930 KS Equity,Dynamic,1994,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"2,002528668","0,745802028"
005930 KS Equity,Dynamic,1995,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"2,270691202","0,70935416"
005930 KS Equity,Dynamic,1996,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,571413592","0,787765905"
005930 KS Equity,Dynamic,1997,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"5,627461023","0,967401738"
005930 KS Equity,Dynamic,1998,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,528430695","0,858642057"
005930 KS Equity,Dynamic,1999,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"5,489485836","1,452105891"
005930 KS Equity,Dynamic,2000,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"3,283314783","0,912515406"
005930 KS Equity,Dynamic,2001,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"7,83152942","1,279610915"
005930 KS Equity,Dynamic,2002,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,882027869","1,058997278"
005930 KS Equity,Dynamic,2003,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"7,109420635","1,162038183"
005930 KS Equity,Dynamic,2004,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"3,885152494","0,803215977"
005930 KS Equity,Dynamic,2005,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"6,766759059","1,141021069"
005930 KS Equity,Dynamic,2006,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"5,268149013","0,979347676"
005930 KS Equity,Dynamic,2007,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,467660136","0,792360055"
005930 KS Equity,Dynamic,2008,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,11025005","0,54649076"
005930 KS Equity,Dynamic,2009,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,277090735","0,693933799"
005930 KS Equity,Dynamic,2010,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,119064686","0,746266865"
005930 KS Equity,Dynamic,2011,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,478373469","0,788374283"
005930 KS Equity,Dynamic,2012,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,0541197","0,900545811"
005930 KS Equity,Dynamic,2013,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"2,667138734","0,620802288"
005930 KS Equity,Dynamic,2014,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"2,97725389","0,6219781"
005930 KS Equity,Dynamic,2015,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"2,285458329","0,539255145"
005930 KS Equity,Dynamic,2016,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"3,100062806","0,767136816"
005930 KS Equity,Dynamic,2017,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"2,252565507","3,273301651","1,035136796"
005930 KS Equity,Dynamic,2018,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"1,263573838","1,787088066","0,625837922"
005930 KS Equity,Dynamic,2019,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"2,077478401","4,372450119","1,088670387"
005930 KS Equity,Dynamic,2020,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"3,209544896","5,842259075","1,636413181"
005930 KS Equity,Dynamic,2021,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"3,479128772","4,313604821","1,324933023"
005930 KS Equity,Dynamic,2022,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"2,669902196","2,848031581","0,777278242"
005930 KS Equity,Dynamic,2023,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"5,178313268","8,831284603","1,542740298"
005930 KS Equity,Dynamic,2024,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"3,319888748",,
066570 KS Equity,Dynamic,2002,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,,"0,650903849"
066570 KS Equity,Dynamic,2003,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,26830262","0,510186417"
066570 KS Equity,Dynamic,2004,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"3,995519916","0,507771402"
066570 KS Equity,Dynamic,2005,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"6,004664963","0,618706629"
066570 KS Equity,Dynamic,2006,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"6,14810906","0,494288059"
066570 KS Equity,Dynamic,2007,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,045904067","0,514828056"
066570 KS Equity,Dynamic,2008,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"3,123353475","0,381669314"
066570 KS Equity,Dynamic,2009,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"5,233223054","0,405468439"
066570 KS Equity,Dynamic,2010,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"16,28239279","0,402401154"
066570 KS Equity,Dynamic,2011,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"11,25177342","0,320514476"
066570 KS Equity,Dynamic,2012,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"6,441068237","0,350422075"
066570 KS Equity,Dynamic,2013,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"5,791974746","0,320064208"
066570 KS Equity,Dynamic,2014,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,639453262","0,299137043"
066570 KS Equity,Dynamic,2015,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"5,189685285","0,286995461"
066570 KS Equity,Dynamic,2016,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"5,00168095","0,278304665"
066570 KS Equity,Dynamic,2017,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"3,421371934","5,855986319","0,404041539"
066570 KS Equity,Dynamic,2018,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"2,593368374","4,00071697","0,30675699"
066570 KS Equity,Dynamic,2019,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"2,801261701","4,11162809","0,326159496"
066570 KS Equity,Dynamic,2020,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"3,99062802","4,417430545","0,498215784"
066570 KS Equity,Dynamic,2021,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"8,53555398","4,358143873","0,406690366"
066570 KS Equity,Dynamic,2022,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"2,942731351","3,56383741","0,27907413"
066570 KS Equity,Dynamic,2023,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"3,420749069","3,900467295","0,313386389"
066570 KS Equity,Dynamic,2024,Hardware. Global Displays (TV Manufacturers) Competitive Peers,"3,327870971",,
1070 HK Equity,Dynamic,1999,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"18,73606662","1,986915603"
1070 HK Equity,Dynamic,2000,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"7,594117978","0,493026661"
1070 HK Equity,Dynamic,2001,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"8,636470148","0,359967884"
1070 HK Equity,Dynamic,2002,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"12,59802626","0,574330175"
1070 HK Equity,Dynamic,2003,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"14,3577483","0,656372477"
1070 HK Equity,Dynamic,2004,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"7,715211174","0,290474091"
1070 HK Equity,Dynamic,2005,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"24,70624521","0,175113385"
1070 HK Equity,Dynamic,2006,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,,"0,102835737"
1070 HK Equity,Dynamic,2007,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"39,5984943","0,184436887"
1070 HK Equity,Dynamic,2008,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"0,829250802","0,021038344"
1070 HK Equity,Dynamic,2009,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"10,07045595","0,293364502"
1070 HK Equity,Dynamic,2010,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,,"0,261548157"
1070 HK Equity,Dynamic,2011,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"2,795047194","0,08393825"
1070 HK Equity,Dynamic,2012,Hardware. Global Displays (TV Manufacturers) Competitive Peers,,"4,101967733","0,153004347"
