Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
002106 CH Equity,Dynamic,2007,Hardware. Global Electronics Touch Solutions Competitve Peers,,"26,06897409","14,06761249"
002106 CH Equity,Dynamic,2008,Hardware. Global Electronics Touch Solutions Competitve Peers,,"5,557719806","3,045501789"
002106 CH Equity,Dynamic,2009,Hardware. Global Electronics Touch Solutions Competitve Peers,,"25,20654506","11,85430032"
002106 CH Equity,Dynamic,2010,Hardware. Global Electronics Touch Solutions Competitve Peers,,"42,79386492","24,21651032"
002106 CH Equity,Dynamic,2011,Hardware. Global Electronics Touch Solutions Competitve Peers,,"14,51790383","7,384093993"
002106 CH Equity,Dynamic,2012,Hardware. Global Electronics Touch Solutions Competitve Peers,,"28,98479337","7,03103124"
002106 CH Equity,Dynamic,2013,Hardware. Global Electronics Touch Solutions Competitve Peers,,"37,60733747","3,41389684"
002106 CH Equity,Dynamic,2014,Hardware. Global Electronics Touch Solutions Competitve Peers,,"53,60282862","3,439360767"
002106 CH Equity,Dynamic,2015,Hardware. Global Electronics Touch Solutions Competitve Peers,,,"3,45721746"
002106 CH Equity,Dynamic,2016,Hardware. Global Electronics Touch Solutions Competitve Peers,,"19,54732191","1,985492034"
002106 CH Equity,Dynamic,2017,Hardware. Global Electronics Touch Solutions Competitve Peers,,"13,60626057","1,458978228"
002106 CH Equity,Dynamic,2018,Hardware. Global Electronics Touch Solutions Competitve Peers,,"7,889016033","0,647819711"
002106 CH Equity,Dynamic,2019,Hardware. Global Electronics Touch Solutions Competitve Peers,,"11,24113786","1,008778842"
002106 CH Equity,Dynamic,2020,Hardware. Global Electronics Touch Solutions Competitve Peers,,"8,705242764","0,914706533"
002106 CH Equity,Dynamic,2021,Hardware. Global Electronics Touch Solutions Competitve Peers,,"8,947101626","0,764654338"
002106 CH Equity,Dynamic,2022,Hardware. Global Electronics Touch Solutions Competitve Peers,,"7,900771206","0,460462913"
002106 CH Equity,Dynamic,2023,Hardware. Global Electronics Touch Solutions Competitve Peers,,"9,165096044","0,818377785"
002456 CH Equity,Dynamic,2010,Hardware. Global Electronics Touch Solutions Competitve Peers,,"74,03487629","10,7489201"
002456 CH Equity,Dynamic,2011,Hardware. Global Electronics Touch Solutions Competitve Peers,,"49,1493443","3,456710401"
002456 CH Equity,Dynamic,2012,Hardware. Global Electronics Touch Solutions Competitve Peers,,"18,41147536","2,488001291"
002456 CH Equity,Dynamic,2013,Hardware. Global Electronics Touch Solutions Competitve Peers,,"25,25711466","2,716743298"
002456 CH Equity,Dynamic,2014,Hardware. Global Electronics Touch Solutions Competitve Peers,,"16,04406987","1,084851802"
002456 CH Equity,Dynamic,2015,Hardware. Global Electronics Touch Solutions Competitve Peers,,"27,25676439","1,928382923"
002456 CH Equity,Dynamic,2016,Hardware. Global Electronics Touch Solutions Competitve Peers,,"26,70206105","1,574292565"
002456 CH Equity,Dynamic,2017,Hardware. Global Electronics Touch Solutions Competitve Peers,,"25,21299122","1,927680206"
002456 CH Equity,Dynamic,2018,Hardware. Global Electronics Touch Solutions Competitve Peers,,"17,7617427","0,930676932"
002456 CH Equity,Dynamic,2019,Hardware. Global Electronics Touch Solutions Competitve Peers,,"15,45048285","1,093046533"
002456 CH Equity,Dynamic,2020,Hardware. Global Electronics Touch Solutions Competitve Peers,"13,84121878","50,33457712","1,030731419"
002456 CH Equity,Dynamic,2021,Hardware. Global Electronics Touch Solutions Competitve Peers,"10,62763202",,"1,675185321"
002456 CH Equity,Dynamic,2022,Hardware. Global Electronics Touch Solutions Competitve Peers,"11,14141813",,"1,455121015"
002456 CH Equity,Dynamic,2023,Hardware. Global Electronics Touch Solutions Competitve Peers,"22,0241817","34,49584691","2,107997107"
002456 CH Equity,Dynamic,2024,Hardware. Global Electronics Touch Solutions Competitve Peers,"36,35554309",,
3049 TT Equity,Dynamic,2004,Hardware. Global Electronics Touch Solutions Competitve Peers,,"4,765456866","1,718945621"
3049 TT Equity,Dynamic,2005,Hardware. Global Electronics Touch Solutions Competitve Peers,,"7,401177971","1,235808569"
