Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
000651 CH Equity,Dynamic,1996,Hardware. Global Household Appliances Competitve Peers,,"25,91593277","2,158327181"
000651 CH Equity,Dynamic,1997,Hardware. Global Household Appliances Competitve Peers,,,"1,710562003"
000651 CH Equity,Dynamic,1998,Hardware. Global Household Appliances Competitve Peers,,"16,6230709","1,365874056"
000651 CH Equity,Dynamic,1999,Hardware. Global Household Appliances Competitve Peers,,"13,36939924","0,977204181"
000651 CH Equity,Dynamic,2000,Hardware. Global Household Appliances Competitve Peers,,,"0,607944853"
000651 CH Equity,Dynamic,2001,Hardware. Global Household Appliances Competitve Peers,,,"0,593566649"
000651 CH Equity,Dynamic,2002,Hardware. Global Household Appliances Competitve Peers,,"6,757501501","0,391387009"
000651 CH Equity,Dynamic,2003,Hardware. Global Household Appliances Competitve Peers,,"8,955431353","0,35652609"
000651 CH Equity,Dynamic,2004,Hardware. Global Household Appliances Competitve Peers,,"12,49802118","0,51230206"
000651 CH Equity,Dynamic,2005,Hardware. Global Household Appliances Competitve Peers,,"7,835509533","0,396739036"
000651 CH Equity,Dynamic,2006,Hardware. Global Household Appliances Competitve Peers,,"9,792512794","0,390216424"
000651 CH Equity,Dynamic,2007,Hardware. Global Household Appliances Competitve Peers,,"23,94329786","1,039007221"
000651 CH Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"17,08277329","1,33156644"
000651 CH Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"20,53601176","0,960659932"
000651 CH Equity,Dynamic,2011,Hardware. Global Household Appliances Competitve Peers,,"13,31789902","0,73894017"
000651 CH Equity,Dynamic,2012,Hardware. Global Household Appliances Competitve Peers,,"8,394503297","0,719459065"
000651 CH Equity,Dynamic,2013,Hardware. Global Household Appliances Competitve Peers,,"5,972572878","0,631393741"
000651 CH Equity,Dynamic,2014,Hardware. Global Household Appliances Competitve Peers,,"5,396419049","0,612475752"
000651 CH Equity,Dynamic,2015,Hardware. Global Household Appliances Competitve Peers,,"5,654675443","0,723701054"
000651 CH Equity,Dynamic,2016,Hardware. Global Household Appliances Competitve Peers,,"4,335808947","0,656255985"
000651 CH Equity,Dynamic,2017,Hardware. Global Household Appliances Competitve Peers,,"6,535924882","1,227109327"
000651 CH Equity,Dynamic,2018,Hardware. Global Household Appliances Competitve Peers,,"3,823798194","0,631129199"
000651 CH Equity,Dynamic,2019,Hardware. Global Household Appliances Competitve Peers,"8,911877371","10,20569738","1,555402426"
000651 CH Equity,Dynamic,2020,Hardware. Global Household Appliances Competitve Peers,"8,407210084","10,70313892","1,691383519"
000651 CH Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"6,533229286","7,583907245","1,099539902"
000651 CH Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"5,062263668","6,432216439","1,01095722"
000651 CH Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"4,681290621","4,925383147","0,82481199"
000651 CH Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"6,036540856",,
002032 CH Equity,Dynamic,2004,Hardware. Global Household Appliances Competitve Peers,,"12,30214557","1,308179927"
002032 CH Equity,Dynamic,2006,Hardware. Global Household Appliances Competitve Peers,,"16,13531678","1,673724626"
002032 CH Equity,Dynamic,2007,Hardware. Global Household Appliances Competitve Peers,,"31,98160841","3,411836837"
002032 CH Equity,Dynamic,2008,Hardware. Global Household Appliances Competitve Peers,,"13,20984248","1,328789784"
002032 CH Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"18,47259162","2,076310142"
002032 CH Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"23,49804657","2,376431079"
002032 CH Equity,Dynamic,2011,Hardware. Global Household Appliances Competitve Peers,,"13,83440474","1,326239431"
002032 CH Equity,Dynamic,2012,Hardware. Global Household Appliances Competitve Peers,,"11,92810494","1,153215368"
002032 CH Equity,Dynamic,2013,Hardware. Global Household Appliances Competitve Peers,,"11,14480927","1,111689828"
002032 CH Equity,Dynamic,2014,Hardware. Global Household Appliances Competitve Peers,,"10,92326928","1,104545872"
002032 CH Equity,Dynamic,2015,Hardware. Global Household Appliances Competitve Peers,,"13,39684499","1,474137112"
002032 CH Equity,Dynamic,2016,Hardware. Global Household Appliances Competitve Peers,,"14,41807665","1,637483872"
002032 CH Equity,Dynamic,2017,Hardware. Global Household Appliances Competitve Peers,,"18,22426324","2,066673095"
002032 CH Equity,Dynamic,2018,Hardware. Global Household Appliances Competitve Peers,,"19,58369448","2,204199907"
002032 CH Equity,Dynamic,2019,Hardware. Global Household Appliances Competitve Peers,"19,93255021","26,10518349","3,037143006"
002032 CH Equity,Dynamic,2020,Hardware. Global Household Appliances Competitve Peers,"20,50702314","27,35881359","3,318304631"
002032 CH Equity,Dynamic,2021,Hardware. Global Household Appliances Competitve Peers,"15,32813437","18,71412859","2,153851245"
002032 CH Equity,Dynamic,2022,Hardware. Global Household Appliances Competitve Peers,"12,16608596","14,39061842","1,842949698"
002032 CH Equity,Dynamic,2023,Hardware. Global Household Appliances Competitve Peers,"14,27738313","14,64335311","1,906927876"
002032 CH Equity,Dynamic,2024,Hardware. Global Household Appliances Competitve Peers,"15,03949969",,
002242 CH Equity,Dynamic,2008,Hardware. Global Household Appliances Competitve Peers,,"13,22814754","2,231912445"
002242 CH Equity,Dynamic,2009,Hardware. Global Household Appliances Competitve Peers,,"16,78364158","2,623938764"
002242 CH Equity,Dynamic,2010,Hardware. Global Household Appliances Competitve Peers,,"11,37308805","1,742423851"
