Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
AKAM US Equity,Dynamic,1999,Infrastructure software multiples,,,"7536,231615"
AKAM US Equity,Dynamic,2000,Infrastructure software multiples,,,"24,43678851"
AKAM US Equity,Dynamic,2001,Infrastructure software multiples,,,"4,849620969"
AKAM US Equity,Dynamic,2002,Infrastructure software multiples,,,"2,692604775"
AKAM US Equity,Dynamic,2003,Infrastructure software multiples,,"38,38805195","9,600493406"
AKAM US Equity,Dynamic,2004,Infrastructure software multiples,,"25,95637346","8,589803304"
AKAM US Equity,Dynamic,2005,Infrastructure software multiples,,"29,57968373","10,36189638"
AKAM US Equity,Dynamic,2006,Infrastructure software multiples,,"64,84303995","19,31692468"
AKAM US Equity,Dynamic,2007,Infrastructure software multiples,,"24,44143613","8,355207642"
AKAM US Equity,Dynamic,2008,Infrastructure software multiples,,"6,313038624","2,508517349"
AKAM US Equity,Dynamic,2009,Infrastructure software multiples,,"10,02984623","4,044909925"
AKAM US Equity,Dynamic,2010,Infrastructure software multiples,,"18,43041552","7,362631991"
AKAM US Equity,Dynamic,2011,Infrastructure software multiples,,"9,949433894","3,884114516"
AKAM US Equity,Dynamic,2012,Infrastructure software multiples,,"11,88656678","4,496428844"
AKAM US Equity,Dynamic,2013,Infrastructure software multiples,,"12,0274484","4,54934733"
AKAM US Equity,Dynamic,2014,Infrastructure software multiples,,"13,81832149","5,195024205"
AKAM US Equity,Dynamic,2015,Infrastructure software multiples,,"11,04687907","3,83194009"
AKAM US Equity,Dynamic,2016,Infrastructure software multiples,,"13,32592191","4,51972923"
AKAM US Equity,Dynamic,2017,Infrastructure software multiples,,"15,12523127","4,191683441"
AKAM US Equity,Dynamic,2018,Infrastructure software multiples,"4,760788395","11,80312874","3,466480399"
AKAM US Equity,Dynamic,2019,Infrastructure software multiples,"7,163361857","12,45923099","4,939385488"
AKAM US Equity,Dynamic,2020,Infrastructure software multiples,"8,7309909","13,2408155","5,429056152"
AKAM US Equity,Dynamic,2021,Infrastructure software multiples,"9,289045698","12,85235495","5,627788638"
AKAM US Equity,Dynamic,2022,Infrastructure software multiples,"8,086471622","10,14996351","4,131244788"
AKAM US Equity,Dynamic,2023,Infrastructure software multiples,"10,99689104","14,05270916","5,283059629"
AKAM US Equity,Dynamic,2024,Infrastructure software multiples,"10,20389008","12,66454494",
BB US Equity,Dynamic,1997,Infrastructure software multiples,,,"9,681409564"
BB US Equity,Dynamic,1998,Infrastructure software multiples,,,"10,83608446"
BB US Equity,Dynamic,1999,Infrastructure software multiples,,,"112,1490313"
BB US Equity,Dynamic,2000,Infrastructure software multiples,,"391,3459845","10,63185509"
BB US Equity,Dynamic,2001,Infrastructure software multiples,,"247,8049448","4,257508435"
BB US Equity,Dynamic,2002,Infrastructure software multiples,,"235,505482","2,002946258"
BB US Equity,Dynamic,2003,Infrastructure software multiples,,,"13,41617416"
BB US Equity,Dynamic,2004,Infrastructure software multiples,,"112,9879822","8,43972615"
BB US Equity,Dynamic,2005,Infrastructure software multiples,,"25,78137679","6,137311019"
BB US Equity,Dynamic,2006,Infrastructure software multiples,,"32,72663238","8,010519213"
BB US Equity,Dynamic,2007,Infrastructure software multiples,,"66,97520983","9,524838067"
BB US Equity,Dynamic,2008,Infrastructure software multiples,,"11,16526847","1,916751952"
BB US Equity,Dynamic,2009,Infrastructure software multiples,,"12,1064284","2,506900314"
BB US Equity,Dynamic,2010,Infrastructure software multiples,,"7,37359567","1,627532933"
BB US Equity,Dynamic,2011,Infrastructure software multiples,,"0,984957209","0,29514772"
BB US Equity,Dynamic,2012,Infrastructure software multiples,,"1,472773744","0,387883447"
BB US Equity,Dynamic,2013,Infrastructure software multiples,,"1,82393747","0,640539952"
BB US Equity,Dynamic,2014,Infrastructure software multiples,,"4,196764321","1,361279575"
BB US Equity,Dynamic,2015,Infrastructure software multiples,,"13,63284998","1,373510301"
BB US Equity,Dynamic,2016,Infrastructure software multiples,,"6,492211883","2,215942903"
BB US Equity,Dynamic,2017,Infrastructure software multiples,,"6,78309","5,413896116"
BB US Equity,Dynamic,2018,Infrastructure software multiples,,"5,144604545","4,985827187"
BB US Equity,Dynamic,2019,Infrastructure software multiples,,"15,75926919","2,604125598"
BB US Equity,Dynamic,2020,Infrastructure software multiples,"13,86301721","37,2413047","6,527816279"
BB US Equity,Dynamic,2021,Infrastructure software multiples,"21,81544009","60,46417687","5,348358657"
BB US Equity,Dynamic,2022,Infrastructure software multiples,"106,6327022","9,040250501","2,920531666"
BB US Equity,Dynamic,2023,Infrastructure software multiples,"46,44029165","10,88247612","1,950823797"
BB US Equity,Dynamic,2024,Infrastructure software multiples,"140,4435464",,
BIGISFTP Index,Average,1985,Infrastructure software multiples,,,"3,46275707"
BIGISFTP Index,Average,1986,Infrastructure software multiples,,"15,51668917","6,604403109"
BIGISFTP Index,Average,1987,Infrastructure software multiples,,"22,19672855","4,637635597"
BIGISFTP Index,Average,1988,Infrastructure software multiples,,"14,00737803","3,288388326"
BIGISFTP Index,Average,1989,Infrastructure software multiples,,"18,70862291","4,921549885"
BIGISFTP Index,Average,1990,Infrastructure software multiples,,"12,34619544","3,62474449"
BIGISFTP Index,Average,1991,Infrastructure software multiples,,"27,64082555","4,157200559"
BIGISFTP Index,Average,1992,Infrastructure software multiples,,"16,23059278","3,620221343"
BIGISFTP Index,Average,1993,Infrastructure software multiples,,"15,27329399","3,983559941"
BIGISFTP Index,Average,1994,Infrastructure software multiples,,"20,68620036","5,180883454"
BIGISFTP Index,Average,1995,Infrastructure software multiples,,"18,42524703","4,038965076"
BIGISFTP Index,Average,1996,Infrastructure software multiples,,"19,07140807","5,509273187"
BIGISFTP Index,Average,1997,Infrastructure software multiples,,"19,84754421","7,439948595"
BIGISFTP Index,Average,1998,Infrastructure software multiples,,"26,71702174","8,163004803"
BIGISFTP Index,Average,1999,Infrastructure software multiples,,"52,16649533","1099,645832"
BIGISFTP Index,Average,2000,Infrastructure software multiples,,"96,30879356","8,518414582"
BIGISFTP Index,Average,2001,Infrastructure software multiples,,"64,0560205","4,285746448"
BIGISFTP Index,Average,2002,Infrastructure software multiples,,"57,4656346","3,195142199"
BIGISFTP Index,Average,2003,Infrastructure software multiples,,"20,89440802","6,30303412"
BIGISFTP Index,Average,2004,Infrastructure software multiples,,"34,14350287","5,150017162"
BIGISFTP Index,Average,2005,Infrastructure software multiples,,"18,22094264","5,335449898"
BIGISFTP Index,Average,2006,Infrastructure software multiples,,"34,08226504","6,408897112"
BIGISFTP Index,Average,2007,Infrastructure software multiples,,"25,0580529","4,530563826"
BIGISFTP Index,Average,2008,Infrastructure software multiples,,"8,655448864","2,228900297"
BIGISFTP Index,Average,2009,Infrastructure software multiples,,"15,65279961","2,970846762"
BIGISFTP Index,Average,2010,Infrastructure software multiples,,"15,54696123","3,916083429"
BIGISFTP Index,Average,2011,Infrastructure software multiples,,"13,71565443","3,17882633"
BIGISFTP Index,Average,2012,Infrastructure software multiples,,"63,24543328","5,092829244"
BIGISFTP Index,Average,2013,Infrastructure software multiples,,"42,42803334","5,242354557"
BIGISFTP Index,Average,2014,Infrastructure software multiples,"7,300413177","34,79981873","5,694132576"
BIGISFTP Index,Average,2015,Infrastructure software multiples,"9,065019317","24,11668892","5,14741649"
BIGISFTP Index,Average,2016,Infrastructure software multiples,"8,353086823","64,93526775","4,847285402"
BIGISFTP Index,Average,2017,Infrastructure software multiples,,"101,5158549","5,8466795"
BIGISFTP Index,Average,2018,Infrastructure software multiples,"8,350704638","62,94154547","7,782796949"
BIGISFTP Index,Average,2019,Infrastructure software multiples,"12,09913557","189,4360858","10,19015843"
BIGISFTP Index,Average,2020,Infrastructure software multiples,"102,8115585","937,595531","21,40080338"
BIGISFTP Index,Average,2021,Infrastructure software multiples,"63,79814752","565,2845587","17,17615404"
BIGISFTP Index,Average,2022,Infrastructure software multiples,"26,61004659","913,7356065","7,123794366"
BIGISFTP Index,Average,2023,Infrastructure software multiples,"85,49132588","83,51728828","8,174245849"
BIGISFTP Index,Average,2024,Infrastructure software multiples,"151,4171572","192,2584632","12,28065112"
BOX US Equity,Dynamic,2014,Infrastructure software multiples,,,"9,065503373"
BOX US Equity,Dynamic,2015,Infrastructure software multiples,,,"3,9458876"
BOX US Equity,Dynamic,2016,Infrastructure software multiples,,,"5,337574215"
BOX US Equity,Dynamic,2017,Infrastructure software multiples,,,"5,792204717"
BOX US Equity,Dynamic,2018,Infrastructure software multiples,,,"4,790350403"
BOX US Equity,Dynamic,2019,Infrastructure software multiples,,,"3,580018973"
BOX US Equity,Dynamic,2020,Infrastructure software multiples,"9,847703565",,"3,665022432"
BOX US Equity,Dynamic,2021,Infrastructure software multiples,"10,68420621","48,53948157","4,957963943"
BOX US Equity,Dynamic,2022,Infrastructure software multiples,"12,52969333","53,76027483","5,267433589"
BOX US Equity,Dynamic,2023,Infrastructure software multiples,"11,95727152","29,77607551","4,106419559"
BOX US Equity,Dynamic,2024,Infrastructure software multiples,"15,76694084","36,29389504",
BRZE US Equity,Dynamic,2021,Infrastructure software multiples,,,"17,38989166"
BRZE US Equity,Dynamic,2022,Infrastructure software multiples,,,"7,442572102"
BRZE US Equity,Dynamic,2023,Infrastructure software multiples,,,"10,66352557"
BRZE US Equity,Dynamic,2024,Infrastructure software multiples,"1583,543033",,
CRWD US Equity,Dynamic,2019,Infrastructure software multiples,,,"25,12900424"
CRWD US Equity,Dynamic,2020,Infrastructure software multiples,,,"53,91042384"
CRWD US Equity,Dynamic,2021,Infrastructure software multiples,"53,58325798",,"27,87604099"
CRWD US Equity,Dynamic,2022,Infrastructure software multiples,"27,43803404",,"10,29379606"
CRWD US Equity,Dynamic,2023,Infrastructure software multiples,"57,2664268",,"22,28625094"
CRWD US Equity,Dynamic,2024,Infrastructure software multiples,"76,20263797","395,8437049",
CVLT US Equity,Dynamic,2006,Infrastructure software multiples,,"84,18461105","4,118807203"
CVLT US Equity,Dynamic,2007,Infrastructure software multiples,,"44,31448861","2,210954953"
CVLT US Equity,Dynamic,2008,Infrastructure software multiples,,"17,26596968","1,496979818"
CVLT US Equity,Dynamic,2009,Infrastructure software multiples,,"36,89937513","2,747423854"
CVLT US Equity,Dynamic,2010,Infrastructure software multiples,,"29,81793954","4,876496938"
CVLT US Equity,Dynamic,2011,Infrastructure software multiples,,"41,35670515","4,705431993"
CVLT US Equity,Dynamic,2012,Infrastructure software multiples,,"53,32586258","6,793671473"
CVLT US Equity,Dynamic,2013,Infrastructure software multiples,,"36,15989044","4,393434355"
CVLT US Equity,Dynamic,2014,Infrastructure software multiples,,"17,65834184","2,607588928"
CVLT US Equity,Dynamic,2015,Infrastructure software multiples,,"29,17166447","2,550864489"
CVLT US Equity,Dynamic,2016,Infrastructure software multiples,,"147,2825465","2,831712622"
CVLT US Equity,Dynamic,2017,Infrastructure software multiples,,"219,6382214","3,028810125"
CVLT US Equity,Dynamic,2018,Infrastructure software multiples,,"209,6833507","3,506047032"
CVLT US Equity,Dynamic,2019,Infrastructure software multiples,,"93,2476586","2,306364399"
CVLT US Equity,Dynamic,2020,Infrastructure software multiples,,"274,7110186","3,626595086"
CVLT US Equity,Dynamic,2021,Infrastructure software multiples,,"1037,217004","3,510755518"
CVLT US Equity,Dynamic,2022,Infrastructure software multiples,"10,7697288","42,70155533","2,841616131"
CVLT US Equity,Dynamic,2023,Infrastructure software multiples,"16,45666386","37,22622787","4,904884545"
CVLT US Equity,Dynamic,2024,Infrastructure software multiples,"32,49812184","77,35232524",
DBX US Equity,Dynamic,2018,Infrastructure software multiples,,"129,5245934","5,34779622"
DBX US Equity,Dynamic,2019,Infrastructure software multiples,,"38,53059153","4,403882502"
DBX US Equity,Dynamic,2020,Infrastructure software multiples,,"15293,94419","4,70395632"
DBX US Equity,Dynamic,2021,Infrastructure software multiples,"10,11583335","19,94184919","4,571745679"
DBX US Equity,Dynamic,2022,Infrastructure software multiples,"8,704566992","22,1200979","3,772537313"
DBX US Equity,Dynamic,2023,Infrastructure software multiples,"10,63882566","14,20595692","4,237494404"
DBX US Equity,Dynamic,2024,Infrastructure software multiples,"9,212997757","12,38892057",
DDOG US Equity,Dynamic,2019,Infrastructure software multiples,,"1783,656254","28,84097115"
DDOG US Equity,Dynamic,2020,Infrastructure software multiples,"63,39862322","1551,568847","36,40961846"
DDOG US Equity,Dynamic,2021,Infrastructure software multiples,"107,1512159","2286,344216","53,52612111"
DDOG US Equity,Dynamic,2022,Infrastructure software multiples,"36,01650157","19453,61526","13,38048383"
DDOG US Equity,Dynamic,2023,Infrastructure software multiples,"63,4250641","836,4013092","18,091825"
DDOG US Equity,Dynamic,2024,Infrastructure software multiples,"55,32339274","816,7349025",
DT US Equity,Dynamic,2019,Infrastructure software multiples,,"1089,527028","12,81112686"
DT US Equity,Dynamic,2020,Infrastructure software multiples,"25,99403577","1062,050879","19,57735819"
DT US Equity,Dynamic,2021,Infrastructure software multiples,"25,89355092","106,0570526","14,36223155"
DT US Equity,Dynamic,2022,Infrastructure software multiples,"25,67706311","73,1179125","10,18895831"
DT US Equity,Dynamic,2023,Infrastructure software multiples,"32,66302789","97,42567343","9,104033248"
DT US Equity,Dynamic,2024,Infrastructure software multiples,"29,32820885","72,49516665",
FIVN US Equity,Dynamic,2014,Infrastructure software multiples,,,"1,846419662"
FIVN US Equity,Dynamic,2015,Infrastructure software multiples,,,"3,362110842"
FIVN US Equity,Dynamic,2016,Infrastructure software multiples,,"400,0535798","4,595582516"
FIVN US Equity,Dynamic,2017,Infrastructure software multiples,,"525,2086097","6,926203821"
FIVN US Equity,Dynamic,2018,Infrastructure software multiples,,"143,818198","9,721036699"
FIVN US Equity,Dynamic,2019,Infrastructure software multiples,,"141,992365","12,0102392"
FIVN US Equity,Dynamic,2020,Infrastructure software multiples,"55,78536369","469,5811338","26,77940714"
FIVN US Equity,Dynamic,2021,Infrastructure software multiples,"47,38684632","6840,717367","16,0114358"
FIVN US Equity,Dynamic,2022,Infrastructure software multiples,"23,31041934","3620,455255","6,416604078"
FIVN US Equity,Dynamic,2023,Infrastructure software multiples,"30,88048706",,"6,40634004"
FIVN US Equity,Dynamic,2024,Infrastructure software multiples,"14,66558366",,
FSLY US Equity,Dynamic,2019,Infrastructure software multiples,,,"8,986803185"
FSLY US Equity,Dynamic,2020,Infrastructure software multiples,"94,18407729",,"33,7043037"
FSLY US Equity,Dynamic,2021,Infrastructure software multiples,"99,76126984",,"11,81610126"
FSLY US Equity,Dynamic,2022,Infrastructure software multiples,"53,94291457",,"2,647751437"
FSLY US Equity,Dynamic,2023,Infrastructure software multiples,"97,3850883",,"4,885038465"
FSLY US Equity,Dynamic,2024,Infrastructure software multiples,"41,92991881",,
FTNT US Equity,Dynamic,2009,Infrastructure software multiples,,"28,91145482","3,623705095"
FTNT US Equity,Dynamic,2010,Infrastructure software multiples,,"33,92385948","6,445152851"
FTNT US Equity,Dynamic,2011,Infrastructure software multiples,,"30,96224301","6,896374615"
FTNT US Equity,Dynamic,2012,Infrastructure software multiples,,"26,31422552","5,540863692"
FTNT US Equity,Dynamic,2013,Infrastructure software multiples,,"30,04826125","4,223642485"
FTNT US Equity,Dynamic,2014,Infrastructure software multiples,,"53,28035174","5,689677062"
FTNT US Equity,Dynamic,2015,Infrastructure software multiples,"9,065019317","96,37411317","4,410281343"
FTNT US Equity,Dynamic,2016,Infrastructure software multiples,"8,353086823","45,11529007","3,236196647"
FTNT US Equity,Dynamic,2017,Infrastructure software multiples,,"38,39801076","4,069646806"
FTNT US Equity,Dynamic,2018,Infrastructure software multiples,,"36,09896595","5,723636465"
FTNT US Equity,Dynamic,2019,Infrastructure software multiples,,"37,9529368","7,541004161"
FTNT US Equity,Dynamic,2020,Infrastructure software multiples,"14,13317456","36,06361347","8,615450586"
FTNT US Equity,Dynamic,2021,Infrastructure software multiples,"33,81514452","75,24238083","16,97773921"
FTNT US Equity,Dynamic,2022,Infrastructure software multiples,"20,46042199","33,36609233","8,394674469"
FTNT US Equity,Dynamic,2023,Infrastructure software multiples,"25,92231768","31,18193135","8,364536835"
FTNT US Equity,Dynamic,2024,Infrastructure software multiples,"32,68210464","53,39877365",
GEN US Equity,Dynamic,1990,Infrastructure software multiples,,,"3,708689331"
GEN US Equity,Dynamic,1991,Infrastructure software multiples,,"35,65026666","4,33939606"
GEN US Equity,Dynamic,1992,Infrastructure software multiples,,"6,690061938","1,080631827"
GEN US Equity,Dynamic,1993,Infrastructure software multiples,,"6,694058317","1,562593136"
GEN US Equity,Dynamic,1994,Infrastructure software multiples,,"22,42370551","2,461845086"
GEN US Equity,Dynamic,1995,Infrastructure software multiples,,"12,32910106","1,294097669"
GEN US Equity,Dynamic,1996,Infrastructure software multiples,,"8,762904482","1,365558904"
GEN US Equity,Dynamic,1997,Infrastructure software multiples,,"18,87104716","2,489538615"
GEN US Equity,Dynamic,1998,Infrastructure software multiples,,"12,63898971","1,237011245"
GEN US Equity,Dynamic,1999,Infrastructure software multiples,,"32,66471414","5,498966274"
GEN US Equity,Dynamic,2000,Infrastructure software multiples,,"10,94573588","2,874714093"
GEN US Equity,Dynamic,2001,Infrastructure software multiples,,"15,85240313","4,798239056"
GEN US Equity,Dynamic,2002,Infrastructure software multiples,,"16,77651295","3,357439674"
GEN US Equity,Dynamic,2003,Infrastructure software multiples,,"21,08078283","6,752740724"
GEN US Equity,Dynamic,2004,Infrastructure software multiples,,"22,23459362","4,627934215"
GEN US Equity,Dynamic,2005,Infrastructure software multiples,,"16,00944653","3,660067054"
GEN US Equity,Dynamic,2006,Infrastructure software multiples,,"13,6933478","2,821932732"
GEN US Equity,Dynamic,2007,Infrastructure software multiples,,"9,349976803","2,35319594"
GEN US Equity,Dynamic,2008,Infrastructure software multiples,,"7,007220143","2,173713049"
GEN US Equity,Dynamic,2009,Infrastructure software multiples,,"8,166700307","2,040010025"
GEN US Equity,Dynamic,2010,Infrastructure software multiples,,"7,09573866","2,212387722"
GEN US Equity,Dynamic,2011,Infrastructure software multiples,,"7,384098238","1,849153046"
GEN US Equity,Dynamic,2012,Infrastructure software multiples,,"6,810038426","2,254653924"
GEN US Equity,Dynamic,2013,Infrastructure software multiples,,"8,461251509","2,81258666"
GEN US Equity,Dynamic,2014,Infrastructure software multiples,,"30,75681626","3,625935288"
GEN US Equity,Dynamic,2015,Infrastructure software multiples,,"24,40481058","2,082171406"
GEN US Equity,Dynamic,2016,Infrastructure software multiples,,"14,60904848","5,621553352"
GEN US Equity,Dynamic,2017,Infrastructure software multiples,,"54,42779753","7,422586948"
GEN US Equity,Dynamic,2018,Infrastructure software multiples,,"30,73209271","6,878135179"
GEN US Equity,Dynamic,2019,Infrastructure software multiples,,"23,69244551","5,153337349"
GEN US Equity,Dynamic,2020,Infrastructure software multiples,,"19,14406625","5,94496276"
GEN US Equity,Dynamic,2021,Infrastructure software multiples,,"16,80026503","6,300815451"
GEN US Equity,Dynamic,2022,Infrastructure software multiples,"5,997587192","13,69219832","6,007010186"
GEN US Equity,Dynamic,2023,Infrastructure software multiples,"10,31113545","15,07005246","5,696012592"
GEN US Equity,Dynamic,2024,Infrastructure software multiples,"11,02816773","15,09659354",
HCP US Equity,Dynamic,2021,Infrastructure software multiples,,,"33,53448406"
HCP US Equity,Dynamic,2022,Infrastructure software multiples,,,"10,17571165"
HCP US Equity,Dynamic,2023,Infrastructure software multiples,,,"5,300895741"
INFA US Equity,Dynamic,2021,Infrastructure software multiples,"19,65042689","138,1753481","9,247768605"
INFA US Equity,Dynamic,2022,Infrastructure software multiples,"11,93082424","124,0699667","4,343664224"
INFA US Equity,Dynamic,2023,Infrastructure software multiples,"16,55192123","179,3395289","6,593899584"
INFA US Equity,Dynamic,2024,Infrastructure software multiples,"15,38870586","170,3965138",
KNBE US Equity,Dynamic,2021,Infrastructure software multiples,"92,0450579","345,7656637","15,17476774"
KNBE US Equity,Dynamic,2022,Infrastructure software multiples,"71,06731574","387,3346991",
KNBE US Equity,Dynamic,2023,Infrastructure software multiples,"65,72915954","389,162947",
KNBE US Equity,Dynamic,2024,Infrastructure software multiples,"65,72915954",,
LSPD CN Equity,Dynamic,2018,Infrastructure software multiples,,,"13,99125011"
LSPD CN Equity,Dynamic,2019,Infrastructure software multiples,,,"8,895574257"
LSPD CN Equity,Dynamic,2020,Infrastructure software multiples,,,"33,04590895"
LSPD CN Equity,Dynamic,2021,Infrastructure software multiples,,,"6,652712524"
LSPD CN Equity,Dynamic,2022,Infrastructure software multiples,"32,00419746",,"2,083858094"
LSPD CN Equity,Dynamic,2023,Infrastructure software multiples,"48,80942643",,"1,607788631"
LSPD CN Equity,Dynamic,2024,Infrastructure software multiples,"29,38687304",,
MDB US Equity,Dynamic,2017,Infrastructure software multiples,,,"6,577985218"
MDB US Equity,Dynamic,2018,Infrastructure software multiples,,,"17,85679649"
MDB US Equity,Dynamic,2019,Infrastructure software multiples,,,"22,16310733"
MDB US Equity,Dynamic,2020,Infrastructure software multiples,"111,7471959",,"38,17033347"
MDB US Equity,Dynamic,2021,Infrastructure software multiples,"549,7376363",,"30,53883541"
MDB US Equity,Dynamic,2022,Infrastructure software multiples,"89,53885819",,"11,15882121"
MDB US Equity,Dynamic,2023,Infrastructure software multiples,"93,41510366",,"16,84280429"
MDB US Equity,Dynamic,2024,Infrastructure software multiples,"84,12825257",,
MSFT US Equity,Dynamic,1985,Infrastructure software multiples,,,"3,46275707"
MSFT US Equity,Dynamic,1986,Infrastructure software multiples,,"15,51668917","7,410179345"
MSFT US Equity,Dynamic,1987,Infrastructure software multiples,,"20,33969206","5,809576612"
MSFT US Equity,Dynamic,1988,Infrastructure software multiples,,"13,24239278","3,274715725"
MSFT US Equity,Dynamic,1989,Infrastructure software multiples,,"16,92539226","6,927553491"
MSFT US Equity,Dynamic,1990,Infrastructure software multiples,,"18,45768601","6,077160862"
MSFT US Equity,Dynamic,1991,Infrastructure software multiples,,"25,92739039","6,420775151"
MSFT US Equity,Dynamic,1992,Infrastructure software multiples,,"19,90090493","6,002131628"
MSFT US Equity,Dynamic,1993,Infrastructure software multiples,,"13,89768111","5,674365455"
MSFT US Equity,Dynamic,1994,Infrastructure software multiples,,"16,25044575","8,171719724"
MSFT US Equity,Dynamic,1995,Infrastructure software multiples,,"20,43671435","7,484675931"
MSFT US Equity,Dynamic,1996,Infrastructure software multiples,,"25,81204328","12,69321183"
MSFT US Equity,Dynamic,1997,Infrastructure software multiples,,"27,26948231","16,69107915"
MSFT US Equity,Dynamic,1998,Infrastructure software multiples,,"44,65010756","23,30503684"
MSFT US Equity,Dynamic,1999,Infrastructure software multiples,,"53,87626681","16,76781669"
MSFT US Equity,Dynamic,2000,Infrastructure software multiples,,"16,92984302",
MSFT US Equity,Dynamic,2001,Infrastructure software multiples,,"30,0013139","8,971806804"
MSFT US Equity,Dynamic,2002,Infrastructure software multiples,,"18,29763351","7,056278622"
MSFT US Equity,Dynamic,2003,Infrastructure software multiples,,"22,57170382","6,776889372"
MSFT US Equity,Dynamic,2004,Infrastructure software multiples,,"22,49480241","5,737694782"
MSFT US Equity,Dynamic,2005,Infrastructure software multiples,,"15,60801898","4,522912244"
MSFT US Equity,Dynamic,2006,Infrastructure software multiples,,"14,92814587","4,949289934"
MSFT US Equity,Dynamic,2007,Infrastructure software multiples,,"15,51004858","3,774942238"
