Ticker,Data State,Year,Sector,BEST_CUR_EV_TO_EBITDA,EV_TO_T12M_EBITDA,EV_TO_T12M_SALES
000021 CH Equity,Dynamic,1994,"Technology. Design, Mfg & Distribution",,"13,31524347","1,918561273"
000021 CH Equity,Dynamic,1995,"Technology. Design, Mfg & Distribution",,"4,684842991","0,632928268"
000021 CH Equity,Dynamic,1996,"Technology. Design, Mfg & Distribution",,"12,20227125","2,88695358"
000021 CH Equity,Dynamic,1997,"Technology. Design, Mfg & Distribution",,,"10,44329273"
000021 CH Equity,Dynamic,1998,"Technology. Design, Mfg & Distribution",,,"4,327562723"
000021 CH Equity,Dynamic,1999,"Technology. Design, Mfg & Distribution",,"38,92822811","5,765480929"
000021 CH Equity,Dynamic,2000,"Technology. Design, Mfg & Distribution",,,"3,845549216"
000021 CH Equity,Dynamic,2001,"Technology. Design, Mfg & Distribution",,,"2,25467028"
000021 CH Equity,Dynamic,2002,"Technology. Design, Mfg & Distribution",,"18,73508911","1,197202475"
000021 CH Equity,Dynamic,2003,"Technology. Design, Mfg & Distribution",,"13,9540061","0,915894404"
000021 CH Equity,Dynamic,2004,"Technology. Design, Mfg & Distribution",,"16,29327933","0,857402527"
000021 CH Equity,Dynamic,2005,"Technology. Design, Mfg & Distribution",,"13,34933817","0,571174523"
000021 CH Equity,Dynamic,2006,"Technology. Design, Mfg & Distribution",,"16,64610889","0,541489971"
000021 CH Equity,Dynamic,2007,"Technology. Design, Mfg & Distribution",,"69,3885251","1,001802775"
000021 CH Equity,Dynamic,2008,"Technology. Design, Mfg & Distribution",,"4,840812929","0,174777737"
000021 CH Equity,Dynamic,2009,"Technology. Design, Mfg & Distribution",,"21,4846419","0,781049489"
000021 CH Equity,Dynamic,2010,"Technology. Design, Mfg & Distribution",,"32,86999805","0,726954039"
000021 CH Equity,Dynamic,2011,"Technology. Design, Mfg & Distribution",,"23,60720963","0,516784309"
000021 CH Equity,Dynamic,2012,"Technology. Design, Mfg & Distribution",,"37,55650825","0,579811343"
000021 CH Equity,Dynamic,2013,"Technology. Design, Mfg & Distribution",,"99,34679121","0,837329639"
000021 CH Equity,Dynamic,2014,"Technology. Design, Mfg & Distribution",,"75,88668639","0,981932772"
000021 CH Equity,Dynamic,2015,"Technology. Design, Mfg & Distribution",,"60,99741525","1,492422533"
000021 CH Equity,Dynamic,2016,"Technology. Design, Mfg & Distribution",,"22,33932888","1,11405945"
000021 CH Equity,Dynamic,2017,"Technology. Design, Mfg & Distribution",,"20,67654134","1,450725398"
000021 CH Equity,Dynamic,2018,"Technology. Design, Mfg & Distribution",,"14,14469852","0,79507095"
000021 CH Equity,Dynamic,2019,"Technology. Design, Mfg & Distribution",,"28,45534798","1,885618364"
000021 CH Equity,Dynamic,2020,"Technology. Design, Mfg & Distribution",,"21,79078408","2,444340576"
000021 CH Equity,Dynamic,2021,"Technology. Design, Mfg & Distribution",,"21,21319777","1,919784752"
000021 CH Equity,Dynamic,2022,"Technology. Design, Mfg & Distribution",,"32,66042353","1,419947576"
000021 CH Equity,Dynamic,2023,"Technology. Design, Mfg & Distribution",,"19,68037542","2,142013623"
002241 CH Equity,Dynamic,2008,"Technology. Design, Mfg & Distribution",,"14,09512312","2,786178975"
002241 CH Equity,Dynamic,2009,"Technology. Design, Mfg & Distribution",,"39,85457978","6,104432657"
002241 CH Equity,Dynamic,2010,"Technology. Design, Mfg & Distribution",,"45,17337182","7,904436342"
